#Utama, Raditya, and Jorge Piekarewicz. "Refining mass formulas for astrophysical applications: A Bayesian neural network approach." Physical Review C 96.4 (2017): 044308.
#DZ10
#   BNN-Refined Duflo-Zuker Model (6931 nuclei)                     
#   -------------------------------------------                     
#    Z    N         B(MeV)              S1p(MeV)            S2p(MeV)
   37  100    840.726 0.457D+01    28.872 0.609D-01     0.000 0.000D+00
   38  100    871.099 0.443D+01    30.369 0.650D-01    59.240 0.126D+00
   39  100    898.099 0.433D+01    26.995 0.675D-01    57.363 0.132D+00
   40  100    926.658 0.425D+01    28.554 0.669D-01    55.549 0.134D+00
   41  100    951.183 0.421D+01    24.520 0.625D-01    53.074 0.129D+00
   42  100    977.293 0.418D+01    26.107 0.543D-01    50.627 0.116D+00
   43  100   1000.188 0.414D+01    22.892 0.458D-01    48.999 0.979D-01
   44  100   1024.661 0.406D+01    24.473 0.469D-01    47.365 0.882D-01
   45  100   1045.839 0.393D+01    21.179 0.639D-01    45.651 0.107D+00
   46  100   1068.560 0.377D+01    22.722 0.885D-01    43.901 0.151D+00
   47  100   1088.136 0.364D+01    19.578 0.110D+00    42.300 0.198D+00
   48  100   1109.214 0.359D+01    21.080 0.122D+00    40.658 0.231D+00
   49  100   1127.035 0.359D+01    17.822 0.122D+00    38.902 0.242D+00
   50  100   1146.387 0.357D+01    19.353 0.112D+00    37.175 0.230D+00
   51  100   1161.720 0.345D+01    15.333 0.102D+00    34.687 0.208D+00
   52  100   1178.633 0.318D+01    16.913 0.102D+00    32.246 0.196D+00
   53  100   1192.758 0.278D+01    14.126 0.109D+00    31.039 0.204D+00
   54  100   1208.929 0.226D+01    16.172 0.108D+00    30.298 0.210D+00
   55  100   1222.763 0.168D+01    13.837 0.108D+00    30.010 0.208D+00
   56  100   1238.518 0.116D+01    15.758 0.105D+00    29.595 0.210D+00
   57  100   1251.670 0.847D+00    13.156 0.833D-01    28.914 0.187D+00
   58  100   1266.408 0.675D+00    14.742 0.576D-01    27.898 0.138D+00
   59  100   1278.286 0.565D+00    11.881 0.418D-01    26.623 0.961D-01
   60  100   1291.592 0.504D+00    13.308 0.333D-01    25.189 0.730D-01
   61  100   1302.025 0.472D+00    10.433 0.262D-01    23.742 0.581D-01
   62  100   1313.908 0.425D+00    11.882 0.215D-01    22.315 0.453D-01
   63  100   1323.006 0.355D+00     9.096 0.247D-01    20.978 0.427D-01
   64  100   1333.624 0.315D+00    10.615 0.292D-01    19.711 0.519D-01
   65  100   1341.573 0.334D+00     7.947 0.262D-01    18.562 0.541D-01
   66  100   1351.063 0.361D+00     9.488 0.201D-01    17.436 0.451D-01
   67  100   1357.855 0.362D+00     6.791 0.154D-01    16.279 0.339D-01
   68  100   1366.104 0.338D+00     8.248 0.149D-01    15.039 0.284D-01
   69  100   1371.625 0.309D+00     5.521 0.171D-01    13.769 0.307D-01
   70  100   1378.582 0.296D+00     6.957 0.198D-01    12.478 0.360D-01
   71  100   1382.887 0.304D+00     4.305 0.201D-01    11.262 0.393D-01
   72  100   1388.705 0.313D+00     5.818 0.166D-01    10.123 0.360D-01
   73  100   1391.771 0.301D+00     3.067 0.130D-01     8.885 0.280D-01
   74  100   1396.368 0.278D+00     4.597 0.140D-01     7.663 0.255D-01
   75  100   1398.754 0.266D+00     2.385 0.152D-01     6.982 0.286D-01
   76  100   1403.034 0.276D+00     4.281 0.139D-01     6.666 0.287D-01
   77  100   1404.403 0.295D+00     1.370 0.112D-01     5.650 0.247D-01
   78  100   1407.626 0.302D+00     3.223 0.858D-02     4.593 0.190D-01
   79  100   1408.116 0.286D+00     0.489 0.102D-01     3.712 0.171D-01
   80  100   1410.431 0.255D+00     2.315 0.171D-01     2.804 0.266D-01
   81  100   1409.959 0.252D+00    -0.472 0.260D-01     1.843 0.428D-01
   82  100   1411.303 0.342D+00     1.344 0.345D-01     0.872 0.604D-01
   83  100   1409.506 0.514D+00    -1.797 0.412D-01    -0.453 0.756D-01
   84  100   1409.568 0.725D+00     0.061 0.448D-01    -1.736 0.859D-01
   85  100   1407.222 0.939D+00    -2.345 0.448D-01    -2.284 0.893D-01
   86  100   1406.524 0.113D+01    -0.698 0.418D-01    -3.044 0.858D-01
   87  100   1403.501 0.128D+01    -3.022 0.395D-01    -3.721 0.795D-01
   88  100   1402.108 0.138D+01    -1.391 0.446D-01    -4.413 0.812D-01
   89  100   1398.369 0.146D+01    -3.737 0.596D-01    -5.128 0.102D+00
   90  100   1396.443 0.158D+01    -1.922 0.804D-01    -5.659 0.139D+00
   91  100   1392.453 0.181D+01    -3.987 0.102D+00    -5.909 0.182D+00
   92  100   1389.929 0.218D+01    -2.519 0.120D+00    -6.506 0.222D+00
   37  101    837.448 0.455D+01     0.000 0.000D+00     0.000 0.000D+00
   38  101    867.630 0.440D+01    30.177 0.716D-01     0.000 0.000D+00
   39  101    895.541 0.429D+01    27.905 0.738D-01    58.082 0.145D+00
   40  101    923.935 0.423D+01    28.389 0.725D-01    56.294 0.146D+00
   41  101    949.334 0.421D+01    25.394 0.668D-01    53.784 0.139D+00
   42  101    975.309 0.421D+01    25.972 0.571D-01    51.366 0.123D+00
   43  101    999.060 0.418D+01    23.750 0.474D-01    49.721 0.102D+00
   44  101   1023.442 0.410D+01    24.381 0.492D-01    48.131 0.911D-01
   45  101   1045.448 0.395D+01    22.007 0.688D-01    46.388 0.114D+00
   46  101   1068.112 0.377D+01    22.666 0.958D-01    44.673 0.163D+00
   47  101   1088.493 0.364D+01    20.383 0.119D+00    43.049 0.214D+00
   48  101   1109.531 0.362D+01    21.040 0.132D+00    41.423 0.250D+00
   49  101   1128.108 0.368D+01    18.578 0.131D+00    39.618 0.261D+00
   50  101   1147.392 0.374D+01    19.286 0.118D+00    37.864 0.246D+00
   51  101   1163.413 0.369D+01    16.021 0.105D+00    35.307 0.217D+00
   52  101   1180.250 0.347D+01    16.838 0.104D+00    32.859 0.200D+00
   53  101   1194.943 0.309D+01    14.694 0.113D+00    31.532 0.209D+00
   54  101   1210.819 0.259D+01    15.877 0.112D+00    30.570 0.218D+00
   55  101   1225.168 0.198D+01    14.352 0.111D+00    30.228 0.213D+00
   56  101   1240.791 0.140D+01    15.626 0.113D+00    29.978 0.219D+00
   57  101   1254.498 0.101D+01    13.711 0.967D-01    29.337 0.208D+00
   58  101   1269.237 0.801D+00    14.743 0.689D-01    28.453 0.163D+00
   59  101   1281.738 0.659D+00    12.504 0.481D-01    27.246 0.114D+00
   60  101   1295.085 0.556D+00    13.350 0.380D-01    25.853 0.832D-01
   61  101   1306.115 0.494D+00    11.030 0.309D-01    24.380 0.674D-01
   62  101   1318.047 0.443D+00    11.931 0.245D-01    22.961 0.538D-01
   63  101   1327.704 0.377D+00     9.656 0.239D-01    21.586 0.450D-01
   64  101   1338.356 0.323D+00    10.649 0.281D-01    20.304 0.492D-01
   65  101   1346.814 0.322D+00     8.456 0.275D-01    19.105 0.541D-01
   66  101   1356.355 0.349D+00     9.539 0.225D-01    17.994 0.489D-01
   67  101   1363.653 0.362D+00     7.297 0.172D-01    16.836 0.386D-01
   68  101   1371.990 0.348D+00     8.336 0.147D-01    15.633 0.301D-01
   69  101   1378.019 0.317D+00     6.028 0.161D-01    14.364 0.293D-01
   70  101   1385.065 0.293D+00     7.047 0.188D-01    13.075 0.337D-01
   71  101   1389.811 0.292D+00     4.746 0.207D-01    11.793 0.387D-01
   72  101   1395.719 0.305D+00     5.907 0.192D-01    10.653 0.393D-01
   73  101   1399.228 0.307D+00     3.510 0.147D-01     9.417 0.329D-01
   74  101   1403.914 0.287D+00     4.686 0.135D-01     8.196 0.262D-01
   75  101   1406.699 0.267D+00     2.785 0.156D-01     7.470 0.281D-01
   76  101   1410.935 0.270D+00     4.236 0.157D-01     7.021 0.309D-01
   77  101   1412.823 0.291D+00     1.888 0.134D-01     6.124 0.287D-01
   78  101   1416.026 0.309D+00     3.204 0.101D-01     5.091 0.229D-01
   79  101   1416.980 0.306D+00     0.954 0.877D-02     4.157 0.174D-01
   80  101   1419.274 0.278D+00     2.295 0.137D-01     3.248 0.210D-01
   81  101   1419.239 0.247D+00    -0.036 0.224D-01     2.259 0.356D-01
   82  101   1420.578 0.286D+00     1.339 0.320D-01     1.303 0.543D-01
   83  101   1419.226 0.431D+00    -1.353 0.406D-01    -0.013 0.726D-01
   84  101   1419.343 0.644D+00     0.117 0.468D-01    -1.236 0.873D-01
   85  101   1417.338 0.881D+00    -2.005 0.494D-01    -1.889 0.960D-01
   86  101   1416.896 0.111D+01    -0.442 0.479D-01    -2.448 0.970D-01
   87  101   1414.218 0.130D+01    -2.677 0.438D-01    -3.120 0.909D-01
   88  101   1413.023 0.144D+01    -1.194 0.414D-01    -3.872 0.831D-01
   89  101   1409.634 0.153D+01    -3.387 0.480D-01    -4.581 0.864D-01
   90  101   1407.704 0.160D+01    -1.927 0.648D-01    -5.314 0.111D+00
   91  101   1404.003 0.171D+01    -3.698 0.867D-01    -5.625 0.151D+00
   92  101   1401.772 0.193D+01    -2.227 0.108D+00    -5.925 0.195D+00
   37  102    834.218 0.455D+01     0.000 0.000D+00     0.000 0.000D+00
   38  102    865.349 0.438D+01    31.126 0.786D-01     0.000 0.000D+00
   39  102    893.122 0.427D+01    27.767 0.809D-01    58.893 0.159D+00
   40  102    922.435 0.423D+01    29.308 0.790D-01    57.075 0.159D+00
   41  102    947.720 0.423D+01    25.281 0.722D-01    54.589 0.150D+00
   42  102    974.583 0.426D+01    26.859 0.609D-01    52.141 0.132D+00
   43  102    998.253 0.424D+01    23.668 0.499D-01    50.528 0.107D+00
   44  102   1023.512 0.415D+01    25.259 0.527D-01    48.927 0.962D-01
   45  102   1045.473 0.398D+01    21.961 0.749D-01    47.220 0.123D+00
   46  102   1068.976 0.378D+01    23.505 0.104D+00    45.466 0.177D+00
   47  102   1089.338 0.364D+01    20.363 0.129D+00    43.868 0.232D+00
   48  102   1111.173 0.364D+01    21.838 0.142D+00    42.202 0.270D+00
   49  102   1129.729 0.377D+01    18.558 0.140D+00    40.396 0.281D+00
   50  102   1149.756 0.392D+01    20.028 0.126D+00    38.586 0.264D+00
   51  102   1165.760 0.394D+01    16.006 0.108D+00    36.034 0.228D+00
   52  102   1183.274 0.376D+01    17.515 0.104D+00    33.521 0.203D+00
   53  102   1197.888 0.341D+01    14.615 0.116D+00    32.130 0.212D+00
   54  102   1214.176 0.291D+01    16.289 0.117D+00    30.904 0.227D+00
   55  102   1228.353 0.230D+01    14.179 0.113D+00    30.468 0.220D+00
   56  102   1244.490 0.168D+01    16.140 0.118D+00    30.319 0.225D+00
   57  102   1258.127 0.121D+01    13.641 0.109D+00    29.780 0.225D+00
   58  102   1273.464 0.947D+00    15.341 0.824D-01    28.982 0.189D+00
   59  102   1285.997 0.779D+00    12.536 0.567D-01    27.877 0.136D+00
   60  102   1299.973 0.640D+00    13.979 0.433D-01    26.514 0.964D-01
   61  102   1311.081 0.539D+00    11.108 0.362D-01    25.087 0.776D-01
   62  102   1323.604 0.470D+00    12.522 0.290D-01    23.631 0.639D-01
   63  102   1333.324 0.405D+00     9.718 0.249D-01    22.241 0.513D-01
   64  102   1344.513 0.344D+00    11.186 0.268D-01    20.905 0.483D-01
   65  102   1353.018 0.321D+00     8.502 0.278D-01    19.688 0.524D-01
   66  102   1363.072 0.335D+00    10.052 0.245D-01    18.554 0.508D-01
   67  102   1370.460 0.355D+00     7.386 0.196D-01    17.438 0.431D-01
   68  102   1379.310 0.352D+00     8.850 0.155D-01    16.236 0.337D-01
   69  102   1385.449 0.327D+00     6.139 0.153D-01    14.988 0.291D-01
   70  102   1392.992 0.297D+00     7.543 0.175D-01    13.681 0.315D-01
   71  102   1397.855 0.285D+00     4.863 0.201D-01    12.405 0.366D-01
   72  102   1404.212 0.294D+00     6.357 0.207D-01    11.220 0.401D-01
   73  102   1407.822 0.306D+00     3.611 0.174D-01     9.968 0.375D-01
   74  102   1412.994 0.297D+00     5.172 0.137D-01     8.783 0.295D-01
   75  102   1416.070 0.273D+00     3.075 0.151D-01     8.247 0.271D-01
   76  102   1420.715 0.265D+00     4.645 0.168D-01     7.720 0.313D-01
   77  102   1422.575 0.284D+00     1.861 0.155D-01     6.506 0.320D-01
   78  102   1426.284 0.309D+00     3.709 0.123D-01     5.569 0.273D-01
   79  102   1427.225 0.319D+00     0.941 0.916D-02     4.650 0.205D-01
   80  102   1429.991 0.302D+00     2.767 0.109D-01     3.708 0.181D-01
   81  102   1429.943 0.264D+00    -0.048 0.186D-01     2.719 0.286D-01
   82  102   1431.708 0.256D+00     1.764 0.285D-01     1.716 0.468D-01
   83  102   1430.399 0.355D+00    -1.309 0.385D-01     0.455 0.669D-01
   84  102   1430.970 0.552D+00     0.571 0.468D-01    -0.738 0.853D-01
   85  102   1429.031 0.798D+00    -1.940 0.522D-01    -1.369 0.989D-01
   86  102   1428.929 0.106D+01    -0.102 0.535D-01    -2.042 0.105D+00
   87  102   1426.429 0.129D+01    -2.501 0.506D-01    -2.603 0.104D+00
   88  102   1425.580 0.149D+01    -0.848 0.454D-01    -3.348 0.950D-01
   89  102   1422.401 0.162D+01    -3.178 0.435D-01    -4.026 0.864D-01
   90  102   1420.835 0.169D+01    -1.564 0.520D-01    -4.742 0.924D-01
   91  102   1417.022 0.175D+01    -3.810 0.706D-01    -5.374 0.121D+00
   92  102   1415.184 0.184D+01    -1.835 0.934D-01    -5.645 0.163D+00
   38  103    861.638 0.438D+01     0.000 0.000D+00     0.000 0.000D+00
   39  103    890.325 0.428D+01    28.682 0.886D-01     0.000 0.000D+00
   40  103    919.470 0.426D+01    29.140 0.862D-01    57.822 0.174D+00
   41  103    945.637 0.430D+01    26.163 0.781D-01    55.303 0.163D+00
   42  103    972.360 0.434D+01    26.720 0.649D-01    52.883 0.141D+00
   43  103    996.889 0.433D+01    24.528 0.527D-01    51.248 0.114D+00
   44  103   1022.045 0.422D+01    25.155 0.572D-01    49.683 0.103D+00
   45  103   1044.846 0.402D+01    22.802 0.819D-01    47.957 0.135D+00
   46  103   1068.273 0.378D+01    23.428 0.112D+00    46.230 0.193D+00
   47  103   1089.439 0.363D+01    21.168 0.138D+00    44.596 0.250D+00
   48  103   1111.219 0.366D+01    21.782 0.152D+00    42.951 0.290D+00
   49  103   1130.534 0.386D+01    19.318 0.151D+00    41.100 0.302D+00
   50  103   1150.509 0.409D+01    19.976 0.135D+00    39.294 0.283D+00
   51  103   1167.240 0.419D+01    16.733 0.112D+00    36.709 0.242D+00
   52  103   1184.689 0.407D+01    17.451 0.104D+00    34.184 0.206D+00
   53  103   1199.927 0.374D+01    15.239 0.118D+00    32.690 0.213D+00
   54  103   1216.079 0.324D+01    16.153 0.123D+00    31.392 0.235D+00
   55  103   1230.555 0.264D+01    14.479 0.116D+00    30.631 0.230D+00
   56  103   1246.530 0.199D+01    15.977 0.121D+00    30.456 0.229D+00
   57  103   1260.676 0.144D+01    14.149 0.118D+00    30.127 0.237D+00
   58  103   1275.938 0.112D+01    15.267 0.966D-01    29.416 0.213D+00
   59  103   1289.067 0.920D+00    13.132 0.680D-01    28.399 0.162D+00
   60  103   1303.077 0.754D+00    14.013 0.498D-01    27.145 0.114D+00
   61  103   1314.774 0.613D+00    11.698 0.418D-01    25.710 0.890D-01
   62  103   1327.340 0.515D+00    12.566 0.346D-01    24.264 0.751D-01
   63  103   1337.616 0.440D+00    10.274 0.280D-01    22.840 0.606D-01
   64  103   1348.837 0.376D+00    11.218 0.264D-01    21.492 0.509D-01
   65  103   1357.848 0.334D+00     9.008 0.273D-01    20.226 0.507D-01
   66  103   1367.928 0.327D+00    10.078 0.255D-01    19.086 0.510D-01
   67  103   1375.807 0.342D+00     7.877 0.220D-01    17.955 0.464D-01
   68  103   1384.726 0.349D+00     8.917 0.173D-01    16.794 0.383D-01
   69  103   1391.365 0.333D+00     6.638 0.151D-01    15.555 0.308D-01
   70  103   1398.998 0.305D+00     7.633 0.164D-01    14.271 0.301D-01
   71  103   1404.334 0.284D+00     5.335 0.188D-01    12.969 0.340D-01
   72  103   1410.774 0.284D+00     6.441 0.208D-01    11.776 0.388D-01
   73  103   1414.825 0.299D+00     4.051 0.198D-01    10.492 0.401D-01
   74  103   1420.210 0.302D+00     5.386 0.155D-01     9.437 0.343D-01
   75  103   1423.704 0.284D+00     3.494 0.143D-01     8.880 0.276D-01
   76  103   1428.450 0.265D+00     4.746 0.169D-01     8.240 0.300D-01
   77  103   1430.708 0.274D+00     2.258 0.173D-01     7.004 0.337D-01
   78  103   1434.386 0.302D+00     3.679 0.146D-01     5.936 0.314D-01
   79  103   1435.819 0.324D+00     1.433 0.109D-01     5.112 0.248D-01
   80  103   1438.551 0.322D+00     2.732 0.954D-02     4.165 0.187D-01
   81  103   1438.963 0.290D+00     0.412 0.149D-01     3.144 0.230D-01
   82  103   1440.713 0.255D+00     1.750 0.245D-01     2.162 0.389D-01
   83  103   1439.858 0.297D+00    -0.855 0.352D-01     0.895 0.594D-01
   84  103   1440.452 0.460D+00     0.593 0.452D-01    -0.262 0.802D-01
   85  103   1438.936 0.700D+00    -1.517 0.529D-01    -0.923 0.980D-01
   86  103   1438.900 0.974D+00    -0.037 0.572D-01    -1.553 0.110D+00
   87  103   1436.730 0.125D+01    -2.170 0.571D-01    -2.207 0.114D+00
   88  103   1436.120 0.149D+01    -0.610 0.528D-01    -2.780 0.109D+00
   89  103   1433.280 0.168D+01    -2.840 0.468D-01    -3.449 0.982D-01
   90  103   1431.905 0.180D+01    -1.373 0.459D-01    -4.213 0.897D-01
   91  103   1428.339 0.186D+01    -3.564 0.567D-01    -4.937 0.994D-01
   92  103   1426.443 0.189D+01    -1.894 0.770D-01    -5.458 0.132D+00
   38  104    859.097 0.440D+01     0.000 0.000D+00     0.000 0.000D+00
   39  104    887.633 0.431D+01    28.531 0.968D-01     0.000 0.000D+00
   40  104    917.714 0.432D+01    30.076 0.938D-01    58.607 0.190D+00
   41  104    943.756 0.439D+01    26.038 0.839D-01    56.115 0.177D+00
   42  104    971.393 0.445D+01    27.634 0.684D-01    53.673 0.150D+00
   43  104    995.832 0.443D+01    24.438 0.555D-01    52.072 0.119D+00
   44  104   1021.852 0.430D+01    26.019 0.625D-01    50.457 0.110D+00
   45  104   1044.590 0.405D+01    22.738 0.895D-01    48.757 0.148D+00
   46  104   1068.864 0.379D+01    24.275 0.121D+00    47.013 0.209D+00
   47  104   1089.979 0.363D+01    21.117 0.147D+00    45.392 0.267D+00
   48  104   1112.558 0.368D+01    22.582 0.162D+00    43.698 0.308D+00
   49  104   1131.851 0.394D+01    19.295 0.161D+00    41.877 0.322D+00
   50  104   1152.586 0.426D+01    20.737 0.144D+00    40.032 0.304D+00
   51  104   1169.302 0.445D+01    16.719 0.118D+00    37.456 0.258D+00
   52  104   1187.463 0.440D+01    18.162 0.104D+00    34.881 0.212D+00
   53  104   1202.656 0.409D+01    15.195 0.118D+00    33.357 0.211D+00
   54  104   1219.403 0.359D+01    16.749 0.129D+00    31.944 0.240D+00
   55  104   1233.506 0.299D+01    14.105 0.120D+00    30.854 0.241D+00
   56  104   1249.981 0.232D+01    16.477 0.122D+00    30.582 0.234D+00
   57  104   1264.002 0.171D+01    14.024 0.125D+00    30.502 0.245D+00
   58  104   1279.818 0.131D+01    15.820 0.110D+00    29.844 0.234D+00
   59  104   1292.935 0.108D+01    13.120 0.818D-01    28.940 0.190D+00
   60  104   1307.551 0.894D+00    14.618 0.583D-01    27.738 0.136D+00
   61  104   1319.305 0.720D+00    11.756 0.478D-01    26.374 0.103D+00
   62  104   1332.457 0.584D+00    13.152 0.407D-01    24.908 0.869D-01
   63  104   1342.791 0.489D+00    10.332 0.328D-01    23.484 0.720D-01
   64  104   1354.567 0.416D+00    11.773 0.280D-01    22.106 0.578D-01
   65  104   1363.616 0.363D+00     9.046 0.268D-01    20.819 0.511D-01
   66  104   1374.199 0.333D+00    10.580 0.258D-01    19.626 0.503D-01
   67  104   1382.131 0.330D+00     7.929 0.237D-01    18.510 0.482D-01
   68  104   1391.559 0.339D+00     9.427 0.198D-01    17.356 0.426D-01
   69  104   1398.294 0.335D+00     6.734 0.159D-01    16.161 0.343D-01
   70  104   1406.430 0.312D+00     8.136 0.156D-01    14.870 0.299D-01
   71  104   1411.875 0.288D+00     5.444 0.174D-01    13.581 0.318D-01
   72  104   1418.784 0.278D+00     6.910 0.198D-01    12.354 0.362D-01
   73  104   1422.936 0.288D+00     4.153 0.209D-01    11.063 0.400D-01
   74  104   1428.973 0.301D+00     6.037 0.182D-01    10.190 0.384D-01
   75  104   1432.574 0.293D+00     3.601 0.144D-01     9.638 0.309D-01
   76  104   1437.741 0.271D+00     5.167 0.159D-01     8.768 0.284D-01
   77  104   1440.269 0.266D+00     2.528 0.181D-01     7.695 0.334D-01
   78  104   1444.332 0.290D+00     4.063 0.168D-01     6.591 0.344D-01
   79  104   1445.741 0.320D+00     1.410 0.131D-01     5.473 0.293D-01
   80  104   1448.982 0.332D+00     3.241 0.994D-02     4.650 0.219D-01
   81  104   1449.366 0.314D+00     0.384 0.121D-01     3.625 0.200D-01
   82  104   1451.573 0.274D+00     2.208 0.202D-01     2.592 0.314D-01
   83  104   1450.733 0.268D+00    -0.841 0.310D-01     1.367 0.509D-01
   84  104   1451.779 0.378D+00     1.046 0.420D-01     0.205 0.728D-01
   85  104   1450.305 0.596D+00    -1.475 0.518D-01    -0.429 0.937D-01
   86  104   1450.681 0.872D+00     0.376 0.588D-01    -1.099 0.110D+00
   87  104   1448.587 0.117D+01    -2.094 0.618D-01    -1.718 0.120D+00
   88  104   1448.309 0.145D+01    -0.279 0.601D-01    -2.373 0.122D+00
   89  104   1445.639 0.170D+01    -2.670 0.544D-01    -2.949 0.114D+00
   90  104   1444.605 0.188D+01    -1.033 0.480D-01    -3.703 0.101D+00
   91  104   1441.253 0.198D+01    -3.350 0.487D-01    -4.383 0.934D-01
   92  104   1439.476 0.202D+01    -1.775 0.621D-01    -5.125 0.108D+00
   38  105    855.139 0.445D+01     0.000 0.000D+00     0.000 0.000D+00
   39  105    884.607 0.439D+01    29.463 0.105D+00     0.000 0.000D+00
   40  105    914.520 0.443D+01    29.908 0.101D+00    59.371 0.206D+00
   41  105    941.461 0.452D+01    26.938 0.891D-01    56.846 0.189D+00
   42  105    968.944 0.458D+01    27.481 0.712D-01    54.419 0.158D+00
   43  105    994.254 0.454D+01    25.308 0.583D-01    52.789 0.124D+00
   44  105   1020.166 0.437D+01    25.911 0.686D-01    51.219 0.119D+00
   45  105   1043.735 0.409D+01    23.569 0.975D-01    49.480 0.162D+00
   46  105   1067.901 0.379D+01    24.167 0.129D+00    47.736 0.225D+00
   47  105   1089.818 0.362D+01    21.919 0.155D+00    46.085 0.284D+00
   48  105   1112.331 0.370D+01    22.515 0.170D+00    44.434 0.325D+00
   49  105   1132.388 0.402D+01    20.059 0.170D+00    42.575 0.340D+00
   50  105   1153.063 0.442D+01    20.678 0.154D+00    40.737 0.323D+00
   51  105   1170.521 0.471D+01    17.460 0.126D+00    38.138 0.277D+00
   52  105   1188.634 0.473D+01    18.115 0.104D+00    35.575 0.221D+00
   53  105   1204.489 0.445D+01    15.858 0.116D+00    33.972 0.207D+00
   54  105   1221.125 0.396D+01    16.638 0.132D+00    32.496 0.241D+00
   55  105   1235.745 0.335D+01    14.622 0.126D+00    31.260 0.251D+00
   56  105   1251.791 0.267D+01    16.047 0.124D+00    30.669 0.241D+00
   57  105   1266.301 0.202D+01    14.513 0.130D+00    30.561 0.250D+00
   58  105   1281.981 0.154D+01    15.684 0.122D+00    30.197 0.250D+00
   59  105   1295.656 0.125D+01    13.679 0.970D-01    29.363 0.217D+00
   60  105   1310.256 0.105D+01    14.602 0.694D-01    28.281 0.163D+00
   61  105   1322.606 0.857D+00    12.352 0.546D-01    26.954 0.120D+00
   62  105   1335.786 0.683D+00    13.179 0.472D-01    25.531 0.995D-01
   63  105   1346.690 0.556D+00    10.903 0.388D-01    24.082 0.847D-01
   64  105   1358.485 0.466D+00    11.793 0.316D-01    22.696 0.681D-01
   65  105   1368.045 0.404D+00     9.557 0.275D-01    21.350 0.554D-01
   66  105   1378.628 0.355D+00    10.580 0.258D-01    20.136 0.501D-01
   67  105   1387.045 0.328D+00     8.414 0.246D-01    18.994 0.485D-01
   68  105   1396.514 0.327D+00     9.467 0.221D-01    17.881 0.459D-01
   69  105   1403.737 0.330D+00     7.222 0.177D-01    16.689 0.389D-01
   70  105   1411.956 0.317D+00     8.218 0.155D-01    15.440 0.316D-01
   71  105   1417.884 0.294D+00     5.928 0.163D-01    14.146 0.305D-01
   72  105   1424.879 0.277D+00     6.996 0.183D-01    12.924 0.335D-01
   73  105   1429.657 0.278D+00     4.778 0.206D-01    11.774 0.379D-01
   74  105   1435.875 0.293D+00     6.218 0.202D-01    10.997 0.401D-01
   75  105   1439.899 0.298D+00     4.025 0.163D-01    10.243 0.355D-01
   76  105   1445.156 0.281D+00     5.257 0.148D-01     9.282 0.288D-01
   77  105   1448.096 0.263D+00     2.940 0.177D-01     8.196 0.312D-01
   78  105   1452.267 0.275D+00     4.172 0.184D-01     7.112 0.356D-01
   79  105   1454.048 0.307D+00     1.781 0.155D-01     5.953 0.334D-01
   80  105   1457.251 0.332D+00     3.204 0.116D-01     4.985 0.263D-01
   81  105   1458.121 0.330D+00     0.870 0.106D-01     4.073 0.204D-01
   82  105   1460.299 0.299D+00     2.178 0.164D-01     3.048 0.255D-01
   83  105   1459.934 0.267D+00    -0.365 0.263D-01     1.813 0.422D-01
   84  105   1460.972 0.318D+00     1.038 0.378D-01     0.673 0.639D-01
   85  105   1459.939 0.496D+00    -1.034 0.489D-01     0.005 0.866D-01
   86  105   1460.347 0.757D+00     0.407 0.582D-01    -0.627 0.107D+00
   87  105   1458.655 0.106D+01    -1.692 0.641D-01    -1.285 0.122D+00
   88  105   1458.423 0.138D+01    -0.233 0.657D-01    -1.925 0.130D+00
   89  105   1456.085 0.167D+01    -2.338 0.624D-01    -2.571 0.128D+00
   90  105   1455.283 0.191D+01    -0.802 0.554D-01    -3.140 0.117D+00
   91  105   1452.254 0.207D+01    -3.027 0.492D-01    -3.829 0.103D+00
   92  105   1450.684 0.216D+01    -1.569 0.522D-01    -4.596 0.978D-01
   38  106    852.345 0.454D+01     0.000 0.000D+00     0.000 0.000D+00
   39  106    881.661 0.450D+01    29.311 0.113D+00     0.000 0.000D+00
   40  106    912.530 0.456D+01    30.864 0.108D+00    60.175 0.220D+00
   41  106    939.335 0.467D+01    26.802 0.931D-01    57.666 0.200D+00
   42  106    967.736 0.472D+01    28.399 0.730D-01    55.201 0.163D+00
   43  106    992.946 0.466D+01    25.208 0.614D-01    53.607 0.128D+00
   44  106   1019.726 0.444D+01    26.780 0.753D-01    51.988 0.129D+00
   45  106   1043.213 0.412D+01    23.486 0.106D+00    50.266 0.178D+00
   46  106   1068.215 0.380D+01    25.002 0.137D+00    48.489 0.241D+00
   47  106   1090.068 0.362D+01    21.855 0.162D+00    46.857 0.299D+00
   48  106   1113.379 0.373D+01    23.313 0.177D+00    45.168 0.339D+00
   49  106   1133.396 0.410D+01    20.019 0.179D+00    43.332 0.355D+00
   50  106   1154.830 0.458D+01    21.437 0.164D+00    41.457 0.342D+00
   51  106   1172.282 0.496D+01    17.454 0.135D+00    38.892 0.296D+00
   52  106   1191.124 0.507D+01    18.846 0.107D+00    36.300 0.233D+00
   53  106   1206.937 0.484D+01    15.815 0.112D+00    34.660 0.204D+00
   54  106   1224.231 0.436D+01    17.297 0.134D+00    33.112 0.238D+00
   55  106   1238.740 0.374D+01    14.510 0.131D+00    31.807 0.258D+00
   56  106   1255.040 0.305D+01    16.303 0.126D+00    30.813 0.249D+00
   57  106   1269.351 0.236D+01    14.314 0.133D+00    30.617 0.255D+00
