#Utama, Raditya, and Jorge Piekarewicz. "Refining mass formulas for astrophysical applications: A Bayesian neural network approach." Physical Review C 96.4 (2017): 044308.
#DZ10
#   BNN-Refined Duflo-Zuker Model (6931 nuclei)                     
#   -------------------------------------------                     
#    Z    N         B(MeV)              S1p(MeV)            S2p(MeV)
   38   28    470.488 0.142D+01    -2.847 0.229D-01    -7.966 0.432D-01
   39   28    464.276 0.156D+01    -6.213 0.270D-01    -9.060 0.492D-01
   40   28    460.477 0.177D+01    -3.799 0.316D-01   -10.012 0.582D-01
   42   28    447.162 0.234D+01     0.000 0.000D+00   -13.316 0.709D-01
   20   29    420.977 0.903D+00    14.526 0.422D-01    27.526 0.124D+00
   21   29    431.318 0.601D+00    10.341 0.305D-01    24.866 0.617D-01
   22   29    443.992 0.503D+00    12.672 0.208D-01    23.013 0.458D-01
   23   29    453.226 0.571D+00     9.234 0.189D-01    21.906 0.377D-01
   24   29    464.540 0.639D+00    11.313 0.160D-01    20.547 0.322D-01
   25   29    471.701 0.678D+00     7.162 0.172D-01    18.475 0.307D-01
   26   29    481.022 0.668D+00     9.321 0.166D-01    16.483 0.314D-01
   27   29    486.521 0.598D+00     5.500 0.171D-01    14.821 0.312D-01
   28   29    494.256 0.541D+00     7.735 0.158D-01    13.235 0.314D-01
   29   29    496.983 0.502D+00     2.727 0.148D-01    10.462 0.289D-01
   30   29    500.175 0.492D+00     3.192 0.153D-01     5.919 0.289D-01
   31   29    499.731 0.514D+00    -0.444 0.142D-01     2.748 0.287D-01
   32   29    501.338 0.527D+00     1.607 0.131D-01     1.163 0.258D-01
   33   29    499.507 0.538D+00    -1.830 0.159D-01    -0.223 0.275D-01
   34   29    499.666 0.621D+00     0.159 0.201D-01    -1.671 0.354D-01
   35   29    496.556 0.790D+00    -3.110 0.223D-01    -2.951 0.421D-01
   36   29    495.394 0.986D+00    -1.161 0.221D-01    -4.271 0.441D-01
   37   29    491.119 0.116D+01    -4.276 0.210D-01    -5.437 0.425D-01
   38   29    488.764 0.130D+01    -2.354 0.210D-01    -6.630 0.410D-01
   39   29    483.435 0.144D+01    -5.330 0.241D-01    -7.684 0.442D-01
   40   29    480.080 0.161D+01    -3.354 0.290D-01    -8.684 0.526D-01
   42   29    468.112 0.214D+01     0.000 0.000D+00   -11.970 0.693D-01
   20   30    427.728 0.953D+00    15.499 0.474D-01    28.950 0.137D+00
   21   30    438.494 0.654D+00    10.767 0.318D-01    26.266 0.643D-01
   22   30    452.101 0.528D+00    13.605 0.222D-01    24.372 0.481D-01
   23   30    461.856 0.583D+00     9.754 0.212D-01    23.359 0.413D-01
   24   30    474.008 0.678D+00    12.151 0.173D-01    21.905 0.365D-01
   25   30    481.764 0.675D+00     7.756 0.149D-01    19.907 0.294D-01
