# Source https://wwwndc.jaea.go.jp/nucldata/mass/KTUY05_m246.dat
# Koura, Hiroyuki, et al. "Nuclidic mass formula on a spherical basis with an improved even-odd term." Progress of theoretical physics 113.2 (2005): 305-325.
#   ZZ   NN   Mcal    Esh alpha2 alpha4 alpha6
   11   19   8.27   0.32  0.052 -0.017 -0.005
   11   20  12.63   0.60  0.016 -0.001  0.000
   11   21  19.92   1.33  0.052  0.015 -0.006
   11   22  25.39   1.58  0.189  0.008 -0.006
   11   23  33.00   1.67  0.184  0.008 -0.008
   11   24  39.20   1.67  0.180  0.005 -0.011
   11   25  47.53   1.64  0.173  0.000 -0.012
   11   26  54.48   1.53  0.185  0.001 -0.012
   11   27  63.54   1.48  0.175 -0.010 -0.005
   11   28  71.26   1.38  0.052 -0.019 -0.003
   11   29  80.53   0.89  0.011  0.000  0.000
   11   30  88.65   0.50  0.039 -0.001 -0.011
   11   31  98.60   0.11  0.057 -0.001 -0.009
   11   32 107.41  -0.18  0.041 -0.011 -0.001
   11   33 117.78  -0.68  0.010  0.000  0.000
   12    6  43.60  -0.59  0.025  0.000  0.000
   12    7  32.21  -0.85  0.035 -0.001  0.000
   12    8  16.42  -1.80  0.040 -0.002 -0.004
   12    9  10.08  -0.57  0.107  0.011 -0.004
   12   10  -0.18   0.10  0.164  0.008 -0.006
   12   11  -4.69   0.21  0.179 -0.004 -0.009
   12   12 -12.59   0.01  0.147 -0.025 -0.007
   12   13 -12.71  -0.49  0.074 -0.023  0.000
   12   14 -16.34  -1.49  0.022  0.000  0.000
   12   15 -14.24  -1.53  0.043 -0.001 -0.002
   12   16 -14.68  -1.31  0.020 -0.001  0.000
   12   17 -10.45  -0.74  0.056  0.013 -0.005
   12   18  -9.10  -0.43  0.094 -0.004 -0.005
   12   19  -3.80  -0.08  0.051 -0.015 -0.003
   12   20  -1.22   0.03  0.016 -0.001  0.000
   12   21   5.54   0.70  0.046  0.014 -0.006
   12   22   9.63   1.08  0.103  0.009 -0.003
   12   23  16.79   1.15  0.112  0.007 -0.011
   12   24  21.59   1.16  0.122 -0.002 -0.013
   12   25  29.56   1.17  0.141 -0.018 -0.005
   12   26  35.26   1.14  0.141 -0.021  0.000
