# Source https://wwwndc.jaea.go.jp/nucldata/mass/KTUY05_m246.dat
# Koura, Hiroyuki, et al. "Nuclidic mass formula on a spherical basis with an improved even-odd term." Progress of theoretical physics 113.2 (2005): 305-325.
#   ZZ   NN   Mcal    Esh alpha2 alpha4 alpha6
   73  173 302.12  -3.23  0.002  0.000  0.000
   73  174 309.86  -3.31  0.007  0.005  0.000
   73  175 318.87  -3.44  0.011  0.000 -0.002
   73  176 326.82  -3.46  0.017  0.006  0.000
   73  177 336.00  -3.54  0.021  0.003 -0.005
   73  178 344.08  -3.56  0.023  0.003  0.000
   73  179 353.46  -3.58  0.023 -0.001  0.000
   73  180 361.68  -3.61  0.025 -0.005 -0.002
   73  181 371.21  -3.60  0.019  0.000 -0.006
   73  182 379.69  -3.50  0.018 -0.008  0.000
   73  183 389.41  -3.43  0.012 -0.006  0.000
   73  184 397.98  -3.38  0.007 -0.006  0.002
   73  185 407.73  -3.40  0.002  0.000  0.000
   73  190 457.27  -0.06  0.033  0.031  0.013
   74   75  19.29  -4.14 -0.155  0.002  0.033
   74   76  12.55  -3.98 -0.140 -0.015  0.023
   74   77   8.28  -3.91 -0.124 -0.030  0.021
   74   78   2.03  -3.82 -0.106 -0.037  0.015
   74   79  -1.87  -3.89 -0.082 -0.042  0.003
   74   80  -8.07  -4.29 -0.054 -0.030  0.002
   74   81 -12.27  -5.16  0.014 -0.009  0.003
   74   82 -18.75  -6.36  0.004  0.000  0.000
   74   83 -20.56  -5.32  0.015  0.012  0.003
   74   84 -24.53  -4.52  0.029  0.023  0.007
   74   85 -26.20  -3.82  0.039  0.025  0.002
   74   86 -29.87  -3.19  0.049  0.023 -0.003
   74   87 -31.22  -2.62  0.057  0.022 -0.010
   74   88 -34.55  -2.12  0.065  0.016 -0.012
   74   89 -35.62  -1.70  0.071  0.012 -0.012
   74   90 -38.60  -1.31  0.076  0.009 -0.014
   74   91 -39.47  -1.13  0.085  0.005 -0.023
   74   92 -42.11  -0.82  0.089 -0.001 -0.024
   74   93 -42.49  -0.56  0.092 -0.005 -0.020
   74   94 -44.70  -0.25  0.101 -0.004 -0.025
   74   95 -44.75  -0.06  0.123  0.026 -0.015
   74   96 -46.86  -0.05  0.131  0.029 -0.015
   74   97 -46.77  -0.12  0.142  0.039 -0.014
   74   98 -48.60  -0.23  0.144  0.027 -0.022
   74   99 -48.28  -0.42  0.150  0.031 -0.017
   74  100 -49.80  -0.61  0.154  0.026 -0.019
   74  101 -49.09  -0.79  0.159  0.014 -0.020
   74  102 -50.28  -1.02  0.162  0.008 -0.023
   74  103 -49.22  -1.19  0.158 -0.001 -0.016
   74  104 -50.04  -1.42  0.158 -0.007 -0.020
   74  105 -48.70  -1.64  0.160 -0.014 -0.018
   74  106 -49.16  -1.86  0.158 -0.022 -0.014
   74  107 -47.47  -2.08  0.155 -0.028 -0.012
   74  108 -47.65  -2.35  0.153 -0.035 -0.014
   74  109 -45.71  -2.63  0.148 -0.044 -0.007
   74  110 -45.52  -2.87  0.142 -0.053  0.000
   74  111 -43.22  -3.10  0.137 -0.063  0.005
   74  112 -42.73  -3.37  0.130 -0.070  0.010
   74  113 -40.16  -3.63  0.123 -0.058  0.004
   74  114 -39.27  -3.80  0.123 -0.065  0.010
   74  115 -36.15  -3.81 -0.142  0.006  0.021
   74  116 -35.00  -4.03 -0.134 -0.003  0.018
   74  117 -31.80  -4.24 -0.126 -0.011  0.019
   74  118 -30.26  -4.36 -0.118 -0.020  0.017
   74  119 -26.69  -4.49 -0.109 -0.025  0.011
   74  120 -24.98  -4.73 -0.098 -0.032  0.013
   74  121 -21.27  -4.97  0.041 -0.016  0.000
   74  122 -19.69  -5.62  0.035 -0.016  0.001
   74  123 -16.10  -6.25  0.026 -0.012  0.000
   74  124 -14.19  -6.84  0.015 -0.004  0.001
   74  125 -10.43  -7.56  0.008  0.000 -0.002
   74  126  -8.25  -8.15  0.003  0.000  0.000
   74  127  -2.28  -6.90  0.010  0.008  0.003
   74  128   1.88  -5.76  0.018  0.013  0.002
   74  129   7.81  -4.80  0.027  0.021  0.004
   74  130  11.95  -3.93  0.035  0.023  0.001
   74  131  17.88  -3.20  0.042  0.026  0.001
   74  132  22.11  -2.49  0.049  0.028  0.000
   74  133  28.15  -1.88  0.054  0.025 -0.005
   74  134  32.46  -1.32  0.058  0.021 -0.009
   74  135  38.59  -0.84  0.064  0.023 -0.010
   74  136  43.02  -0.41  0.069  0.021 -0.012
   74  137  49.30   0.00  0.078  0.029 -0.009
   74  138  53.79   0.28  0.086  0.035 -0.007
   74  139  60.08   0.48  0.096  0.049  0.000
   74  140  64.57   0.54  0.103  0.046 -0.007
   74  141  70.86   0.54  0.109  0.045 -0.012
   74  142  75.46   0.49  0.113  0.042 -0.013
   74  143  81.90   0.44  0.117  0.035 -0.014
   74  144  86.64   0.33  0.120  0.030 -0.018
   74  145  93.22   0.22  0.129  0.026 -0.020
   74  146  98.15   0.08  0.127  0.024 -0.024
   74  147 104.92  -0.03  0.134  0.018 -0.024
   74  148 110.05  -0.16  0.130  0.010 -0.028
   74  149 117.03  -0.25  0.133  0.003 -0.026
   74  150 122.38  -0.36  0.136  0.002 -0.027
   74  151 129.56  -0.43  0.135 -0.009 -0.024
   74  152 135.12  -0.52  0.134 -0.009 -0.022
   74  153 142.45  -0.61  0.134 -0.021 -0.022
   74  154 148.21  -0.69  0.133 -0.025 -0.020
   74  155 155.73  -0.77  0.130 -0.034 -0.015
   74  156 161.65  -0.87  0.124 -0.042 -0.011
   74  157 169.32  -0.97  0.123 -0.041 -0.011
   74  158 175.46  -1.03  0.117 -0.049 -0.002
   74  159 183.29  -1.14  0.118 -0.050  0.000
   74  160 189.62  -1.17  0.118 -0.050  0.000
   74  161 197.73  -1.17  0.119 -0.052  0.001
   74  162 204.26  -1.18  0.120 -0.052  0.005
   74  163 212.50  -1.19  0.120 -0.052  0.003
   74  164 219.22  -1.18  0.120 -0.054  0.007
   74  165 227.71  -1.10  0.120 -0.056  0.009
   74  166 234.59  -1.09  0.122 -0.056  0.007
   74  167 243.26  -0.98  0.120 -0.061  0.011
   74  168 250.37  -0.90 -0.064 -0.034  0.001
   74  169 258.80  -1.19 -0.054 -0.034 -0.002
   74  170 265.67  -1.50  0.022 -0.014  0.002
   74  171 273.85  -2.17  0.014 -0.011  0.006
   74  172 280.42  -2.94  0.002  0.000  0.000
   74  173 288.58  -3.78  0.002  0.000  0.000
   74  174 295.97  -3.87  0.007  0.005  0.000
   74  175 304.99  -4.00  0.011  0.000 -0.002
   74  176 312.60  -4.01  0.015  0.003 -0.002
   74  177 321.81  -4.08  0.019  0.003 -0.003
   74  178 329.56  -4.09  0.021 -0.001 -0.001
   74  179 338.94  -4.12  0.023 -0.001  0.000
   74  180 346.81  -4.16  0.025 -0.005 -0.003
   74  181 356.36  -4.15  0.019  0.000 -0.005
   74  182 364.50  -4.06  0.018 -0.008  0.000
   74  183 374.24  -3.98  0.012 -0.006  0.000
   74  184 382.48  -3.92  0.007 -0.006  0.002
   74  185 392.25  -3.94  0.002  0.000  0.000
   74  186 401.52  -2.98  0.006  0.006  0.001
   74  187 412.23  -2.19  0.013  0.012  0.002
   74  188 421.35  -1.50  0.020  0.019  0.008
   74  189 432.04  -0.84  0.023  0.015  0.002
   74  190 440.97  -0.48  0.032  0.029  0.010
   74  191 451.52  -0.08  0.038  0.034  0.011
   74  192 460.32   0.03  0.091  0.033  0.000
   75   77  18.46  -4.75 -0.125 -0.031  0.020
   75   78  12.19  -4.63 -0.106 -0.038  0.014
   75   79   7.79  -4.66 -0.081 -0.040  0.005
   75   80   1.58  -5.01 -0.054 -0.031  0.001
   75   81  -3.11  -5.84  0.014 -0.009  0.003
   75   82  -9.62  -7.02  0.004  0.000  0.000
   75   83 -11.94  -5.97  0.015  0.012  0.003
   75   84 -15.98  -5.17  0.029  0.022  0.007
   75   85 -18.16  -4.46  0.038  0.022  0.000
   75   86 -21.82  -3.77  0.046  0.017 -0.005
   75   87 -23.68  -3.20  0.056  0.014 -0.010
   75   88 -27.00  -2.64  0.063  0.013 -0.015
   75   89 -28.50  -2.15  0.068  0.006 -0.013
   75   90 -31.54  -1.76  0.076  0.002 -0.021
   75   91 -32.64  -1.30  0.076 -0.002 -0.014
   75   92 -35.33  -1.00  0.082 -0.008 -0.018
   75   93 -36.11  -0.64  0.085 -0.014 -0.019
   75   94 -38.35  -0.31  0.089 -0.021 -0.012
   75   95 -38.88  -0.10  0.089 -0.021 -0.014
   75   96 -40.93   0.00  0.132  0.033 -0.013
   75   97 -41.33  -0.05  0.142  0.041 -0.010
   75   98 -43.21  -0.18  0.146  0.037 -0.012
   75   99 -43.34  -0.34  0.151  0.033 -0.017
   75  100 -44.87  -0.50  0.154  0.026 -0.019
   75  101 -44.63  -0.66  0.156  0.019 -0.021
   75  102 -45.73  -0.76  0.154  0.005 -0.012
   75  103 -45.20  -0.99  0.160 -0.005 -0.013
   75  104 -45.99  -1.15  0.157 -0.014 -0.012
   75  105 -45.16  -1.42  0.155 -0.017 -0.012
   75  106 -45.65  -1.63  0.154 -0.023 -0.009
   75  107 -44.45  -1.86  0.154 -0.031 -0.008
   75  108 -44.62  -2.10  0.151 -0.040 -0.005
   75  109 -43.13  -2.37  0.146 -0.045 -0.006
   75  110 -42.95  -2.58  0.145 -0.049  0.000
   75  111 -41.15  -2.86  0.142 -0.056  0.005
   75  112 -40.72  -3.15  0.137 -0.066  0.010
   75  113 -38.61  -3.42  0.122 -0.059  0.003
   75  114 -38.06  -3.91 -0.137  0.009  0.019
   75  115 -35.89  -4.41 -0.138  0.005  0.020
   75  116 -34.87  -4.73 -0.135 -0.002  0.022
   75  117 -32.08  -4.91 -0.126 -0.011  0.019
   75  118 -30.60  -5.06 -0.119 -0.020  0.016
   75  119 -27.49  -5.20 -0.109 -0.027  0.011
   75  120 -25.77  -5.41 -0.100 -0.034  0.013
   75  121 -22.46  -5.63  0.041 -0.015  0.001
   75  122 -20.92  -6.29  0.034 -0.015  0.002
   75  123 -17.79  -6.95  0.020 -0.009  0.001
   75  124 -16.01  -7.65  0.012 -0.005  0.000
   75  125 -12.70  -8.38  0.008  0.000 -0.001
   75  126 -10.55  -8.98  0.003  0.000  0.000
   75  127  -4.96  -7.69  0.009  0.005 -0.001
   75  128  -0.81  -6.54  0.018  0.013  0.001
   75  129   4.71  -5.57  0.027  0.021  0.003
   75  130   8.84  -4.69  0.034  0.022  0.000
   75  131  14.42  -3.90  0.040  0.022 -0.002
   75  132  18.65  -3.16  0.047  0.024 -0.004
   75  133  24.34  -2.50  0.053  0.021 -0.006
   75  134  28.64  -1.94  0.056  0.016 -0.011
   75  135  34.43  -1.39  0.061  0.013 -0.012
   75  136  38.89  -0.90  0.067  0.014 -0.014
   75  137  44.79  -0.47  0.077  0.025 -0.010
   75  138  49.27  -0.19  0.086  0.036 -0.007
   75  139  55.14   0.00  0.090  0.033 -0.011
   75  140  59.70   0.14  0.099  0.039 -0.009
   75  141  65.62   0.17  0.107  0.042 -0.011
   75  142  70.25   0.16  0.110  0.039 -0.012
   75  143  76.29   0.10  0.116  0.032 -0.014
   75  144  81.09   0.05  0.120  0.030 -0.018
   75  145  87.29  -0.05  0.122  0.024 -0.020
   75  146  92.25  -0.14  0.128  0.025 -0.022
   75  147  98.66  -0.23  0.131  0.016 -0.021
   75  148 103.80  -0.34  0.131  0.015 -0.024
   75  149 110.42  -0.41  0.133  0.007 -0.022
   75  150 115.78  -0.50  0.133  0.004 -0.027
   75  151 122.58  -0.57  0.135 -0.004 -0.024
   75  152 128.16  -0.63  0.134 -0.013 -0.018
   75  153 135.14  -0.70  0.133 -0.018 -0.018
   75  154 140.92  -0.76  0.127 -0.032 -0.011
   75  155 148.03  -0.88  0.128 -0.032 -0.012
   75  156 153.96  -0.96  0.121 -0.039 -0.010
   75  157 161.26  -1.06  0.123 -0.041 -0.005
   75  158 167.35  -1.16  0.116 -0.048  0.000
   75  159 174.81  -1.28  0.117 -0.050  0.002
   75  160 181.13  -1.32  0.115 -0.053  0.001
   75  161 188.70  -1.49  0.110 -0.057  0.008
   75  162 195.24  -1.49  0.110 -0.057  0.009
   75  163 203.25  -1.38  0.115 -0.053  0.010
   75  164 209.88  -1.45  0.112 -0.059  0.012
   75  165 217.98  -1.40  0.114 -0.061  0.013
   75  166 224.85  -1.40 -0.105 -0.005  0.021
   75  167 233.07  -1.39 -0.073 -0.031  0.005
   75  168 239.91  -1.58 -0.063 -0.033  0.002
   75  169 247.92  -1.93  0.025 -0.012  0.000
   75  170 254.50  -2.54  0.020 -0.011  0.002
   75  171 262.43  -3.12  0.014 -0.010  0.004
   75  172 269.19  -3.69  0.007 -0.003  0.000
   75  173 277.11  -4.43  0.002  0.000  0.000
   75  174 284.50  -4.52  0.007  0.005  0.000
   75  175 293.18  -4.65  0.011  0.000 -0.002
   75  176 300.77  -4.68  0.009 -0.005  0.001
   75  177 309.69  -4.70  0.002  0.000  0.000
   75  178 317.48  -4.69  0.019 -0.003 -0.001
   75  179 326.54  -4.70  0.019 -0.007  0.000
   75  180 334.46  -4.69  0.013 -0.005  0.000
   75  181 343.66  -4.70  0.020 -0.003 -0.004
   75  182 351.72  -4.69  0.018 -0.008  0.000
   75  183 361.12  -4.63  0.012 -0.006  0.000
   75  184 369.36  -4.57  0.007 -0.006  0.002
   75  185 378.81  -4.59  0.002  0.000  0.000
   75  188 407.72  -2.02  0.018  0.013  0.001
   75  189 418.06  -1.40  0.023  0.015  0.002
   75  190 427.10  -0.93  0.030  0.022  0.004
   75  191 437.36  -0.50  0.038  0.033  0.010
   75  192 446.40  -0.16  0.042  0.032  0.007
   75  193 456.38  -0.13  0.094  0.033  0.000
   75  194 465.17  -0.16  0.096  0.031  0.000
   76   78  20.49  -5.52 -0.107 -0.042  0.013
   76   79  16.08  -5.50 -0.082 -0.042  0.005
   76   80   9.37  -5.82 -0.054 -0.031  0.002
   76   81   4.67  -6.61  0.014 -0.009  0.004
   76   82  -2.37  -7.78  0.004  0.000  0.000
   76   83  -4.72  -6.72  0.015  0.012  0.003
   76   84  -9.26  -5.89  0.027  0.019  0.002
   76   85 -11.46  -5.15  0.037  0.017 -0.003
   76   86 -15.60  -4.42  0.044  0.011 -0.006
   76   87 -17.48  -3.82  0.054  0.012 -0.014
   76   88 -21.03  -2.97  0.052  0.002 -0.005
   76   89 -22.75  -2.66  0.066 -0.001 -0.017
   76   90 -26.08  -2.05  0.065 -0.004 -0.009
   76   91 -27.29  -1.66  0.071 -0.009 -0.012
   76   92 -30.38  -1.26  0.074 -0.015 -0.013
   76   93 -31.17  -0.86  0.076 -0.019 -0.011
   76   94 -33.90  -0.53  0.079 -0.023 -0.009
   76   95 -34.37  -0.22  0.081 -0.028 -0.009
   76   96 -36.80   0.00  0.083 -0.030 -0.003
   76   97 -37.22  -0.04  0.143  0.045 -0.009
   76   98 -39.57  -0.14  0.150  0.040 -0.019
   76   99 -39.72  -0.29  0.152  0.033 -0.017
   76  100 -41.70  -0.41  0.155  0.027 -0.019
   76  101 -41.41  -0.48  0.154  0.013 -0.013
   76  102 -43.05  -0.65  0.155  0.006 -0.014
   76  103 -42.50  -0.82  0.155 -0.002 -0.013
   76  104 -43.81  -1.03  0.156 -0.009 -0.012
   76  105 -42.95  -1.23  0.156 -0.016 -0.012
   76  106 -43.90  -1.43  0.153 -0.024 -0.009
   76  107 -42.70  -1.64  0.153 -0.031 -0.008
   76  108 -43.32  -1.85  0.149 -0.039 -0.005
   76  109 -41.80  -2.07  0.145 -0.043 -0.001
   76  110 -42.10  -2.31  0.141 -0.051  0.005
   76  111 -40.34  -2.60  0.141 -0.056  0.004
   76  112 -40.41  -2.92 -0.124  0.004  0.020
   76  113 -38.63  -3.50 -0.127  0.003  0.022
   76  114 -38.62  -4.07 -0.129 -0.001  0.020
   76  115 -36.48  -4.59 -0.130 -0.007  0.019
   76  116 -36.16  -5.16 -0.131 -0.006  0.021
   76  117 -33.64  -5.59 -0.128 -0.012  0.019
   76  118 -32.61  -5.74 -0.119 -0.020  0.017
   76  119 -29.55  -5.92 -0.109 -0.029  0.010
   76  120 -28.29  -6.14 -0.100 -0.035  0.013
   76  121 -24.99  -6.34  0.037 -0.008 -0.003
   76  122 -23.88  -7.01  0.033 -0.012  0.000
   76  123 -20.78  -7.68  0.023 -0.008  0.002
   76  124 -19.59  -8.54  0.003  0.000  0.000
   76  125 -16.26  -9.24  0.004  0.000  0.000
   76  126 -14.59  -9.88  0.003  0.000  0.000
   76  127  -8.94  -8.53  0.007  0.004  0.000
   76  128  -5.21  -7.37  0.018  0.014  0.002
   76  129   0.33  -6.36  0.026  0.019  0.002
   76  130   4.07  -5.46  0.033  0.019 -0.001
   76  131   9.69  -4.62  0.039  0.017 -0.004
   76  132  13.55  -3.84  0.045  0.018 -0.007
   76  133  19.22  -3.18  0.049  0.013 -0.010
   76  134  23.16  -2.57  0.055  0.011 -0.013
   76  135  29.06  -1.91  0.060  0.010 -0.011
   76  136  33.22  -1.31  0.068  0.018 -0.010
   76  137  39.11  -0.88  0.078  0.028 -0.009
   76  138  43.18  -0.61  0.087  0.038 -0.005
   76  139  49.04  -0.42  0.092  0.038 -0.006
   76  140  53.20  -0.28  0.096  0.035 -0.009
   76  141  59.18  -0.19  0.101  0.035 -0.012
   76  142  63.43  -0.18  0.107  0.036 -0.012
   76  143  69.52  -0.18  0.111  0.034 -0.016
   76  144  73.97  -0.20  0.120  0.030 -0.018
   76  145  80.17  -0.28  0.123  0.026 -0.019
   76  146  84.79  -0.33  0.122  0.026 -0.019
   76  147  91.19  -0.43  0.127  0.018 -0.020
   76  148  96.02  -0.46  0.130  0.010 -0.019
   76  149 102.62  -0.55  0.134  0.007 -0.023
   76  150 107.65  -0.59  0.130  0.003 -0.022
   76  151 114.43  -0.67  0.133 -0.004 -0.020
   76  152 119.64  -0.73  0.133 -0.013 -0.018
   76  153 126.64  -0.78  0.131 -0.015 -0.018
   76  154 132.04  -0.83  0.127 -0.026 -0.009
   76  155 139.19  -0.92  0.124 -0.031 -0.006
   76  156 144.75  -1.00  0.120 -0.040 -0.003
   76  157 152.03  -1.13  0.113 -0.045  0.000
   76  158 157.75  -1.23  0.114 -0.047  0.004
   76  159 165.21  -1.34  0.108 -0.055  0.009
   76  160 171.10  -1.45  0.108 -0.054  0.010
   76  161 178.77  -1.53  0.107 -0.054  0.011
   76  162 184.93  -1.54  0.107 -0.057  0.014
   76  163 192.69  -1.68 -0.102 -0.002  0.024
   76  164 198.92  -1.79 -0.103 -0.004  0.026
   76  165 206.86  -1.92 -0.090 -0.018  0.019
   76  166 213.29  -2.00 -0.089 -0.019  0.015
   76  167 221.41  -2.10 -0.072 -0.030  0.007
   76  168 227.79  -2.39  0.021  0.002 -0.004
   76  169 235.63  -2.92  0.022 -0.003 -0.004
   76  170 241.95  -3.44  0.019 -0.009  0.000
   76  171 249.99  -3.92  0.014 -0.010  0.003
   76  172 256.40  -4.49  0.004  0.000 -0.001
   76  173 264.38  -5.18  0.002  0.000  0.000
   76  174 271.49  -5.22  0.007  0.004  0.001
   76  175 280.23  -5.29  0.011  0.000 -0.002
   76  176 287.45  -5.35  0.007 -0.005  0.002
   76  177 296.31  -5.45  0.002  0.000  0.000
   76  178 303.82  -5.36  0.007  0.004  0.001
   76  179 312.94  -5.33  0.011  0.002 -0.001
   76  180 320.54  -5.31  0.011 -0.002  0.000
   76  181 329.79  -5.28  0.007 -0.006  0.002
   76  182 337.48  -5.31  0.002  0.000  0.000
   76  183 346.90  -5.24  0.012 -0.006  0.000
   76  184 354.74  -5.25  0.006 -0.005  0.001
   76  185 364.14  -5.33  0.002  0.000  0.000
   76  186 373.14  -4.32  0.006  0.004  0.002
   76  187 383.63  -3.43  0.013  0.010  0.003
   76  188 392.49  -2.69  0.019  0.015  0.002
   76  189 402.90  -2.01  0.023  0.015  0.000
   76  190 411.68  -1.48  0.030  0.021  0.002
   76  191 422.03  -0.97  0.034  0.020  0.000
   76  192 430.81  -0.57  0.042  0.032  0.007
   76  193 441.06  -0.29  0.091  0.032  0.004
   76  194 449.55  -0.29  0.095  0.030  0.000
   76  195 459.58  -0.35  0.100  0.030 -0.003
   76  196 468.15  -0.40  0.101  0.027 -0.005
   76  197 478.27  -0.47  0.105  0.024 -0.009
   77   80  19.76  -6.71 -0.055 -0.032  0.001
   77   81  14.57  -7.46  0.014 -0.009  0.003
   77   82   7.48  -8.63  0.004  0.000  0.000
   77   83   4.61  -7.56  0.015  0.011  0.003
   77   84   0.07  -6.69  0.026  0.016  0.000
   77   85  -2.58  -5.88  0.034  0.010 -0.004
   77   86  -6.81  -5.19  0.044  0.006 -0.010
   77   87  -8.91  -4.29  0.043  0.001 -0.004
   77   88 -12.85  -3.79  0.054 -0.001 -0.012
   77   89 -14.73  -3.13  0.058 -0.006 -0.010
   77   90 -18.09  -2.51  0.060 -0.010 -0.008
   77   91 -19.66  -1.98  0.063 -0.016 -0.007
   77   92 -22.71  -1.48  0.065 -0.019 -0.006
   77   93 -24.05  -1.14  0.069 -0.025 -0.005
   77   94 -26.78  -0.77  0.071 -0.029 -0.003
   77   95 -27.71  -0.42  0.073 -0.032  0.001
   77   96 -30.10  -0.12  0.074 -0.036  0.003
   77   97 -30.83   0.02  0.143  0.045 -0.008
   77   98 -33.25  -0.11  0.147  0.040 -0.012
   77   99 -33.88  -0.26  0.152  0.033 -0.017
   77  100 -35.88  -0.36  0.154  0.026 -0.019
   77  101 -36.03  -0.40  0.154  0.014 -0.014
   77  102 -37.67  -0.53  0.154  0.005 -0.012
   77  103 -37.60  -0.70  0.156 -0.002 -0.013
   77  104 -38.81  -0.77  0.151 -0.010 -0.007
   77  105 -38.49  -1.05  0.157 -0.015 -0.013
   77  106 -39.43  -1.21  0.154 -0.024 -0.008
   77  107 -38.69  -1.40  0.152 -0.031 -0.005
   77  108 -39.32  -1.60  0.149 -0.037 -0.003
   77  109 -38.28  -1.83  0.145 -0.042  0.000
   77  110 -38.60  -2.06 -0.112 -0.002  0.024
   77  111 -37.48  -2.53 -0.111 -0.006  0.024
   77  112 -37.70  -2.99 -0.112 -0.010  0.021
   77  113 -36.32  -3.50 -0.114 -0.011  0.023
   77  114 -36.31  -4.05 -0.114 -0.013  0.021
   77  115 -34.71  -4.66 -0.117 -0.017  0.023
   77  116 -34.46  -5.28 -0.118 -0.018  0.021
   77  117 -32.53  -5.85 -0.117 -0.020  0.019
   77  118 -31.90  -6.38 -0.118 -0.022  0.019
   77  119 -29.36  -6.63 -0.110 -0.030  0.011
   77  120 -28.10  -6.83 -0.097 -0.034  0.009
   77  121 -25.31  -7.11  0.037 -0.008 -0.003
   77  122 -24.23  -7.78  0.032 -0.012  0.000
   77  123 -21.55  -8.44  0.021 -0.006  0.000
   77  124 -20.32  -9.24  0.003  0.000  0.000
   77  125 -17.45  -9.97  0.008  0.000  0.000
   77  126 -15.76 -10.58  0.003  0.000  0.000
   77  127 -10.66  -9.35  0.010  0.009  0.004
   77  128  -6.98  -8.23  0.018  0.012  0.002
   77  129  -1.83  -7.18  0.026  0.016  0.001
   77  130   1.94  -6.24  0.032  0.016 -0.004
   77  131   7.21  -5.33  0.036  0.010 -0.005
   77  132  11.06  -4.54  0.041  0.010 -0.008
   77  133  16.37  -3.83  0.048  0.006 -0.010
   77  134  20.37  -3.14  0.052  0.004 -0.013
   77  135  25.82  -2.53  0.055 -0.001 -0.015
   77  136  30.01  -1.89  0.056 -0.003 -0.010
   77  137  35.60  -1.35  0.058 -0.006 -0.011
   77  138  39.76  -0.97  0.086  0.037 -0.005
   77  139  45.23  -0.77  0.091  0.034 -0.008
   77  140  49.41  -0.60  0.097  0.038 -0.009
   77  141  55.00  -0.51  0.101  0.033 -0.011
   77  142  59.29  -0.44  0.107  0.036 -0.012
   77  143  65.01  -0.43  0.111  0.033 -0.014
   77  144  69.44  -0.44  0.114  0.028 -0.016
   77  145  75.32  -0.47  0.117  0.025 -0.020
   77  146  79.94  -0.50  0.120  0.020 -0.022
   77  147  86.04  -0.51  0.126  0.012 -0.017
   77  148  90.82  -0.59  0.130  0.010 -0.018
   77  149  97.06  -0.66  0.133  0.010 -0.025
   77  150 102.09  -0.69  0.131  0.001 -0.018
   77  151 108.52  -0.75  0.131 -0.005 -0.019
   77  152 113.75  -0.78  0.130 -0.011 -0.017
   77  153 120.36  -0.85  0.129 -0.015 -0.014
   77  154 125.75  -0.90  0.129 -0.025 -0.011
   77  155 132.55  -0.96  0.120 -0.030 -0.004
   77  156 138.11  -1.04  0.119 -0.033  0.000
   77  157 145.06  -1.13  0.117 -0.039  0.000
   77  158 150.78  -1.22  0.118 -0.042  0.003
   77  159 157.91  -1.31  0.111 -0.047  0.009
   77  160 163.80  -1.41  0.106 -0.053  0.010
   77  161 171.04  -1.55 -0.103  0.003  0.022
   77  162 176.81  -1.95 -0.105 -0.001  0.022
   77  163 184.11  -2.20 -0.100 -0.006  0.020
   77  164 190.33  -2.32 -0.100 -0.007  0.019
   77  165 197.94  -2.42 -0.086 -0.019  0.010
   77  166 204.25  -2.62 -0.081 -0.026  0.011
   77  167 211.77  -2.96  0.018  0.008 -0.002
   77  168 217.99  -3.42  0.021  0.003 -0.004
   77  169 225.56  -3.87  0.022 -0.003 -0.004
   77  170 231.98  -4.28  0.020 -0.008  0.000
   77  171 239.75  -4.69  0.013 -0.008  0.001
   77  172 246.26  -5.17  0.007 -0.004  0.002
   77  173 254.02  -5.73  0.002  0.000  0.000
   77  174 261.09  -5.80  0.007  0.006  0.000
   77  175 269.45  -5.91  0.011  0.000 -0.002
   77  176 276.72  -5.93  0.007 -0.005  0.001
   77  177 285.28  -5.98  0.002  0.000  0.000
   77  178 292.75  -5.95  0.013  0.004 -0.001
   77  179 301.48  -5.97  0.013  0.005 -0.002
   77  180 309.08  -5.96  0.015  0.003  0.000
   77  181 318.01  -5.91  0.016 -0.001  0.000
   77  182 325.80  -5.84  0.002  0.000  0.000
   77  183 334.81  -5.85  0.010  0.000 -0.003
   77  184 342.69  -5.83  0.007 -0.006  0.002
   77  185 351.81  -5.87  0.002  0.000  0.000
   77  186 360.77  -4.90  0.006  0.005  0.002
   77  187 370.85  -4.10  0.013  0.011  0.002
   77  188 379.71  -3.36  0.019  0.015  0.002
   77  189 389.83  -2.64  0.023  0.016  0.000
   77  190 398.70  -2.04  0.029  0.020  0.002
   77  191 408.77  -1.49  0.034  0.020  0.000
   77  192 417.65  -1.01  0.042  0.032  0.007
   77  193 427.61  -0.69  0.047  0.035  0.007
   77  194 436.34  -0.47  0.093  0.028  0.002
   77  195 446.08  -0.50  0.097  0.028  0.000
   77  196 454.67  -0.53  0.100  0.026 -0.004
   77  197 464.49  -0.60  0.103  0.023 -0.005
   77  198 473.16  -0.68  0.106  0.021 -0.007
   77  199 483.08  -0.76  0.109  0.019 -0.011
   78   81  23.09  -8.41  0.015 -0.008  0.003
   78   82  15.48  -9.57  0.004  0.000  0.000
   78   83  12.57  -8.48  0.015  0.011  0.002
   78   84   7.56  -7.55  0.025  0.011 -0.001
   78   85   4.89  -6.72  0.034  0.006 -0.007
   78   86   0.34  -5.84  0.035  0.000 -0.004
   78   87  -2.00  -5.14  0.043 -0.006 -0.009
   78   88  -6.16  -4.34  0.045 -0.008 -0.005
   78   89  -8.07  -3.67  0.051 -0.012 -0.007
   78   90 -11.91  -3.01  0.053 -0.017 -0.004
   78   91 -13.44  -2.40  0.055 -0.021 -0.002
   78   92 -16.96  -1.88  0.058 -0.026  0.000
   78   93 -18.21  -1.41  0.060 -0.030  0.002
   78   94 -21.41  -1.00  0.062 -0.035  0.005
   78   95 -22.36  -0.64  0.062 -0.038  0.008
   78   96 -25.15  -0.24  0.064 -0.040  0.011
