#Utama, Raditya, and Jorge Piekarewicz. "Refining mass formulas for astrophysical applications: A Bayesian neural network approach." Physical Review C 96.4 (2017): 044308.
#DZ10
#   BNN-Refined Duflo-Zuker Model (6931 nuclei)                     
#   -------------------------------------------                     
#    Z    N         B(MeV)              S1n(MeV)            S2n(MeV)
   22   17    295.252 0.130D+01    17.044 0.838D-02    38.160 0.166D-01
   22   18    314.184 0.113D+01    18.932 0.819D-02    35.976 0.165D-01
   22   19    329.237 0.984D+00    15.052 0.779D-02    33.984 0.159D-01
   22   20    346.820 0.867D+00    17.583 0.730D-02    32.635 0.150D-01
   22   21    359.616 0.772D+00    12.795 0.686D-02    30.378 0.141D-01
   22   22    375.225 0.696D+00    15.609 0.652D-02    28.404 0.133D-01
   22   23    385.090 0.635D+00     9.864 0.631D-02    25.472 0.127D-01
   22   24    397.921 0.585D+00    12.831 0.623D-02    22.694 0.124D-01
   22   25    406.750 0.545D+00     8.828 0.626D-02    21.659 0.124D-01
   22   26    418.517 0.514D+00    11.766 0.636D-02    20.595 0.125D-01
   22   27    426.909 0.496D+00     8.393 0.643D-02    20.159 0.127D-01
   22   28    437.894 0.492D+00    10.984 0.641D-02    19.377 0.127D-01
   22   29    443.992 0.503D+00     6.098 0.625D-02    17.082 0.125D-01
   22   30    452.101 0.528D+00     8.109 0.626D-02    14.207 0.122D-01
   22   31    457.045 0.569D+00     4.945 0.719D-02    13.054 0.130D-01
   22   32    463.968 0.624D+00     6.924 0.901D-02    11.869 0.158D-01
   22   33    467.916 0.672D+00     3.948 0.994D-02    10.873 0.186D-01
   22   34    473.834 0.674D+00     5.918 0.942D-02     9.866 0.187D-01
   22   35    477.013 0.631D+00     3.179 0.985D-02     9.097 0.182D-01
   22   36    482.199 0.591D+00     5.185 0.106D-01     8.364 0.200D-01
   22   37    484.840 0.579D+00     2.640 0.995D-02     7.825 0.203D-01
   22   38    489.477 0.583D+00     4.636 0.888D-02     7.276 0.185D-01
   22   39    491.278 0.593D+00     1.800 0.900D-02     6.437 0.175D-01
   22   40    496.002 0.621D+00     4.723 0.107D-01     6.524 0.194D-01
   22   41    496.951 0.691D+00     0.948 0.134D-01     5.671 0.239D-01
   22   42    500.930 0.826D+00     3.977 0.166D-01     4.925 0.299D-01
   22   43    501.813 0.103D+01     0.883 0.202D-01     4.860 0.368D-01
   22   44    505.730 0.130D+01     3.916 0.236D-01     4.798 0.437D-01
   22   45    506.199 0.163D+01     0.468 0.266D-01     4.383 0.502D-01
   22   46    509.761 0.198D+01     3.560 0.289D-01     4.028 0.555D-01
   22   47    510.318 0.236D+01     0.555 0.302D-01     4.116 0.591D-01
   22   48    513.997 0.273D+01     3.677 0.304D-01     4.233 0.605D-01
   22   49    514.938 0.308D+01     0.939 0.297D-01     4.616 0.599D-01
   22   50    517.988 0.340D+01     3.048 0.286D-01     3.987 0.580D-01
   22   51    516.588 0.369D+01    -1.403 0.283D-01     1.645 0.566D-01
