#Utama, Raditya, and Jorge Piekarewicz. "Refining mass formulas for astrophysical applications: A Bayesian neural network approach." Physical Review C 96.4 (2017): 044308.
#DZ10
#   BNN-Refined Duflo-Zuker Model (6931 nuclei)                     
#   -------------------------------------------                     
#    Z    N         B(MeV)              S1n(MeV)            S2n(MeV)
   65  164   1428.854 0.114D+02    -2.082 0.127D+00    -4.870 0.250D+00
   65  165   1426.352 0.115D+02    -2.504 0.130D+00    -4.586 0.257D+00
   66   58    886.193 0.621D+01     0.000 0.000D+00     0.000 0.000D+00
   66   59    902.575 0.558D+01    16.381 0.858D-01     0.000 0.000D+00
   66   60    920.794 0.493D+01    18.218 0.886D-01    34.599 0.174D+00
   66   61    936.568 0.429D+01    15.774 0.884D-01    33.992 0.177D+00
   66   62    954.187 0.368D+01    17.618 0.857D-01    33.392 0.174D+00
   66   63    969.317 0.312D+01    15.130 0.811D-01    32.749 0.167D+00
   66   64    986.317 0.262D+01    16.999 0.751D-01    32.129 0.156D+00
   66   65   1000.792 0.218D+01    14.474 0.681D-01    31.474 0.143D+00
   66   66   1017.158 0.181D+01    16.366 0.602D-01    30.840 0.128D+00
   66   67   1030.181 0.151D+01    13.022 0.518D-01    29.388 0.112D+00
   66   68   1045.085 0.127D+01    14.903 0.435D-01    27.925 0.951D-01
   66   69   1057.491 0.108D+01    12.405 0.357D-01    27.308 0.788D-01
   66   70   1071.701 0.923D+00    14.209 0.290D-01    26.614 0.643D-01
   66   71   1083.476 0.786D+00    11.774 0.241D-01    25.983 0.526D-01
   66   72   1097.116 0.664D+00    13.639 0.209D-01    25.412 0.445D-01
   66   73   1108.182 0.560D+00    11.065 0.191D-01    24.704 0.396D-01
   66   74   1121.079 0.477D+00    12.896 0.178D-01    23.961 0.366D-01
   66   75   1131.751 0.422D+00    10.671 0.164D-01    23.567 0.340D-01
   66   76   1144.276 0.394D+00    12.524 0.148D-01    23.196 0.312D-01
   66   77   1154.633 0.388D+00    10.357 0.131D-01    22.881 0.279D-01
   66   78   1167.013 0.391D+00    12.379 0.114D-01    22.736 0.244D-01
   66   79   1177.167 0.397D+00    10.154 0.985D-02    22.533 0.211D-01
   66   80   1189.116 0.400D+00    11.949 0.871D-02    22.103 0.184D-01
   66   81   1198.742 0.398D+00     9.626 0.802D-02    21.575 0.166D-01
   66   82   1210.166 0.390D+00    11.424 0.779D-02    21.050 0.156D-01
   66   83   1218.129 0.375D+00     7.963 0.798D-02    19.387 0.156D-01
   66   84   1228.061 0.355D+00     9.932 0.856D-02    17.895 0.164D-01
   66   85   1235.692 0.331D+00     7.631 0.941D-02    17.563 0.178D-01
   66   86   1245.271 0.308D+00     9.580 0.103D-01    17.211 0.196D-01
   66   87   1252.561 0.290D+00     7.290 0.109D-01    16.870 0.212D-01
   66   88   1261.812 0.282D+00     9.251 0.110D-01    16.541 0.219D-01
   66   89   1268.775 0.285D+00     6.964 0.106D-01    16.215 0.215D-01
   66   90   1277.715 0.295D+00     8.940 0.981D-02    15.904 0.202D-01
   66   91   1284.673 0.304D+00     6.958 0.926D-02    15.898 0.188D-01
   66   92   1293.850 0.312D+00     9.177 0.926D-02    16.135 0.182D-01
   66   93   1300.897 0.318D+00     7.047 0.968D-02    16.224 0.187D-01
   66   94   1309.492 0.324D+00     8.595 0.101D-01    15.642 0.196D-01
   66   95   1316.123 0.332D+00     6.631 0.103D-01    15.226 0.203D-01
   66   96   1324.257 0.342D+00     8.134 0.101D-01    14.765 0.203D-01
   66   97   1330.451 0.354D+00     6.194 0.964D-02    14.327 0.196D-01
   66   98   1338.123 0.363D+00     7.672 0.900D-02    13.866 0.185D-01
   66   99   1343.874 0.366D+00     5.750 0.855D-02    13.422 0.173D-01
   66  100   1351.063 0.361D+00     7.189 0.874D-02    12.940 0.170D-01
   66  101   1356.355 0.349D+00     5.291 0.973D-02    12.481 0.182D-01
   66  102   1363.072 0.335D+00     6.717 0.112D-01    12.009 0.208D-01
   66  103   1367.928 0.327D+00     4.857 0.127D-01    11.574 0.238D-01
   66  104   1374.199 0.333D+00     6.271 0.139D-01    11.128 0.265D-01
   66  105   1378.628 0.355D+00     4.429 0.145D-01    10.701 0.283D-01
   66  106   1384.468 0.393D+00     5.841 0.149D-01    10.271 0.293D-01
   66  107   1388.494 0.442D+00     4.027 0.152D-01     9.868 0.298D-01
   66  108   1393.928 0.498D+00     5.435 0.162D-01     9.461 0.311D-01
   66  109   1397.582 0.563D+00     3.655 0.183D-01     9.090 0.341D-01
   66  110   1402.617 0.641D+00     5.036 0.215D-01     8.691 0.395D-01
   66  111   1406.303 0.738D+00     3.687 0.256D-01     8.723 0.469D-01
   66  112   1411.609 0.858D+00     5.307 0.301D-01     8.994 0.555D-01
   66  113   1415.091 0.100D+01     3.483 0.347D-01     8.790 0.645D-01
   66  114   1420.043 0.117D+01     4.953 0.396D-01     8.436 0.740D-01
   66  115   1423.378 0.135D+01     3.335 0.453D-01     8.289 0.844D-01
   66  116   1428.136 0.154D+01     4.757 0.525D-01     8.093 0.971D-01
   66  117   1431.153 0.176D+01     3.017 0.616D-01     7.775 0.113D+00
   66  118   1435.569 0.200D+01     4.415 0.722D-01     7.432 0.133D+00
   66  119   1438.324 0.227D+01     2.753 0.836D-01     7.168 0.155D+00
   66  120   1442.438 0.258D+01     4.113 0.946D-01     6.865 0.178D+00
   66  121   1444.791 0.293D+01     2.350 0.104D+00     6.462 0.199D+00
   66  122   1448.473 0.332D+01     3.679 0.112D+00     6.028 0.216D+00
   66  123   1450.521 0.374D+01     2.045 0.119D+00     5.723 0.230D+00
   66  124   1453.885 0.419D+01     3.360 0.123D+00     5.405 0.241D+00
   66  125   1455.556 0.467D+01     1.668 0.125D+00     5.029 0.247D+00
   66  126   1458.568 0.516D+01     3.008 0.125D+00     4.676 0.250D+00
   66  127   1458.929 0.566D+01     0.359 0.124D+00     3.367 0.249D+00
   66  128   1460.651 0.615D+01     1.719 0.121D+00     2.078 0.245D+00
   66  129   1460.929 0.665D+01     0.275 0.117D+00     1.994 0.238D+00
   66  130   1462.547 0.713D+01     1.616 0.113D+00     1.892 0.230D+00
   66  131   1462.748 0.759D+01     0.200 0.109D+00     1.816 0.221D+00
   66  132   1464.274 0.804D+01     1.524 0.105D+00     1.724 0.213D+00
   66  133   1465.134 0.847D+01     0.859 0.102D+00     2.383 0.206D+00
   66  134   1467.339 0.887D+01     2.204 0.990D-01     3.063 0.200D+00
   66  135   1468.097 0.926D+01     0.758 0.971D-01     2.961 0.196D+00
   66  136   1470.099 0.963D+01     2.001 0.956D-01     2.759 0.192D+00
   66  137   1470.663 0.998D+01     0.563 0.942D-01     2.564 0.190D+00
   66  138   1472.449 0.103D+02     1.785 0.928D-01     2.349 0.187D+00
   66  139   1472.795 0.106D+02     0.346 0.912D-01     2.131 0.184D+00
   66  140   1474.341 0.109D+02     1.546 0.892D-01     1.892 0.180D+00
   66  141   1474.456 0.112D+02     0.114 0.867D-01     1.660 0.176D+00
   66  142   1475.758 0.114D+02     1.302 0.835D-01     1.416 0.170D+00
   66  143   1475.636 0.117D+02    -0.122 0.798D-01     1.179 0.163D+00
   66  144   1476.668 0.119D+02     1.032 0.753D-01     0.909 0.155D+00
   66  145   1476.293 0.121D+02    -0.376 0.703D-01     0.656 0.145D+00
   66  146   1477.048 0.122D+02     0.754 0.648D-01     0.378 0.135D+00
   66  147   1476.401 0.123D+02    -0.647 0.589D-01     0.107 0.124D+00
   66  148   1476.870 0.124D+02     0.469 0.530D-01    -0.179 0.112D+00
   66  149   1475.942 0.125D+02    -0.928 0.473D-01    -0.459 0.100D+00
   66  150   1476.106 0.125D+02     0.164 0.425D-01    -0.764 0.894D-01
   66  151   1474.890 0.125D+02    -1.217 0.390D-01    -1.053 0.809D-01
   66  152   1474.741 0.124D+02    -0.150 0.378D-01    -1.366 0.761D-01
   66  153   1473.217 0.124D+02    -1.524 0.392D-01    -1.674 0.763D-01
   66  154   1472.757 0.123D+02    -0.461 0.431D-01    -1.985 0.817D-01
   66  155   1470.919 0.122D+02    -1.839 0.490D-01    -2.299 0.917D-01
   66  156   1470.131 0.121D+02    -0.788 0.563D-01    -2.627 0.105D+00
   66  157   1467.983 0.120D+02    -2.149 0.643D-01    -2.937 0.120D+00
   66  158   1466.883 0.118D+02    -1.101 0.728D-01    -3.250 0.137D+00
   66  159   1464.421 0.117D+02    -2.463 0.813D-01    -3.564 0.154D+00
   66  160   1462.995 0.116D+02    -1.427 0.898D-01    -3.890 0.171D+00
   66  161   1460.226 0.115D+02    -2.771 0.979D-01    -4.197 0.188D+00
   66  162   1458.473 0.115D+02    -1.755 0.106D+00    -4.525 0.203D+00
   66  163   1455.776 0.114D+02    -2.699 0.112D+00    -4.454 0.218D+00
   66  164   1454.404 0.114D+02    -1.374 0.119D+00    -4.073 0.231D+00
   66  165   1451.738 0.115D+02    -2.668 0.124D+00    -4.041 0.243D+00
   66  166   1450.089 0.115D+02    -1.652 0.128D+00    -4.319 0.252D+00
   67   59    895.154 0.599D+01     0.000 0.000D+00     0.000 0.000D+00
   67   60    913.728 0.533D+01    18.574 0.952D-01     0.000 0.000D+00
   67   61    929.988 0.469D+01    16.259 0.934D-01    34.833 0.188D+00
   67   62    947.969 0.408D+01    17.981 0.897D-01    34.241 0.183D+00
   67   63    963.557 0.353D+01    15.588 0.848D-01    33.569 0.174D+00
   67   64    980.908 0.303D+01    17.351 0.790D-01    32.938 0.164D+00
   67   65    995.807 0.258D+01    14.899 0.725D-01    32.250 0.151D+00
   67   66   1012.521 0.221D+01    16.714 0.655D-01    31.613 0.138D+00
   67   67   1026.717 0.189D+01    14.195 0.581D-01    30.908 0.123D+00
   67   68   1041.979 0.162D+01    15.261 0.507D-01    29.455 0.108D+00
   67   69   1054.741 0.140D+01    12.761 0.434D-01    28.022 0.937D-01
   67   70   1069.287 0.121D+01    14.544 0.368D-01    27.306 0.798D-01
   67   71   1081.437 0.104D+01    12.150 0.313D-01    26.694 0.676D-01
   67   72   1095.375 0.884D+00    13.936 0.271D-01    26.086 0.579D-01
   67   73   1106.820 0.738D+00    11.444 0.242D-01    25.380 0.509D-01
   67   74   1120.007 0.607D+00    13.185 0.222D-01    24.630 0.461D-01
   67   75   1131.039 0.498D+00    11.031 0.203D-01    24.216 0.423D-01
   67   76   1143.802 0.417D+00    12.763 0.184D-01    23.794 0.386D-01
   67   77   1154.717 0.369D+00    10.914 0.163D-01    23.677 0.346D-01
   67   78   1167.322 0.348D+00    12.605 0.141D-01    23.519 0.304D-01
   67   79   1177.850 0.345D+00    10.527 0.121D-01    23.132 0.261D-01
   67   80   1190.002 0.348D+00    12.152 0.103D-01    22.679 0.223D-01
   67   81   1200.020 0.352D+00    10.018 0.903D-02    22.170 0.192D-01
   67   82   1211.617 0.352D+00    11.597 0.819D-02    21.615 0.170D-01
   67   83   1220.014 0.347D+00     8.397 0.779D-02    19.994 0.158D-01
   67   84   1230.032 0.338D+00    10.018 0.779D-02    18.415 0.154D-01
   67   85   1238.222 0.325D+00     8.189 0.815D-02    18.207 0.158D-01
   67   86   1247.862 0.309D+00     9.641 0.881D-02    17.830 0.168D-01
   67   87   1255.744 0.295D+00     7.882 0.963D-02    17.522 0.183D-01
   67   88   1265.036 0.285D+00     9.292 0.103D-01    17.174 0.198D-01
   67   89   1272.609 0.285D+00     7.574 0.106D-01    16.866 0.208D-01
   67   90   1281.545 0.293D+00     8.936 0.102D-01    16.510 0.207D-01
   67   91   1288.826 0.304D+00     7.281 0.949D-02    16.217 0.196D-01
   67   92   1297.953 0.315D+00     9.128 0.887D-02    16.409 0.181D-01
   67   93   1305.480 0.321D+00     7.526 0.893D-02    16.654 0.174D-01
   67   94   1314.386 0.323D+00     8.906 0.964D-02    16.432 0.183D-01
   67   95   1321.511 0.323D+00     7.125 0.105D-01    16.031 0.199D-01
   67   96   1329.794 0.326D+00     8.282 0.109D-01    15.407 0.212D-01
   67   97   1336.490 0.333D+00     6.696 0.109D-01    14.978 0.216D-01
   67   98   1344.288 0.344D+00     7.797 0.104D-01    14.493 0.211D-01
   67   99   1350.543 0.355D+00     6.255 0.971D-02    14.052 0.200D-01
   67  100   1357.855 0.362D+00     7.312 0.904D-02    13.567 0.185D-01
   67  101   1363.653 0.362D+00     5.798 0.881D-02    13.109 0.176D-01
   67  102   1370.460 0.355D+00     6.806 0.936D-02    12.604 0.179D-01
   67  103   1375.807 0.342D+00     5.348 0.107D-01    12.154 0.198D-01
   67  104   1382.131 0.330D+00     6.323 0.123D-01    11.671 0.228D-01
   67  105   1387.045 0.328D+00     4.914 0.138D-01    11.238 0.260D-01
   67  106   1392.904 0.343D+00     5.860 0.148D-01    10.774 0.285D-01
   67  107   1397.414 0.376D+00     4.511 0.153D-01    10.371 0.300D-01
   67  108   1402.850 0.424D+00     5.436 0.155D-01     9.947 0.307D-01
   67  109   1406.975 0.480D+00     4.126 0.159D-01     9.562 0.311D-01
   67  110   1412.143 0.543D+00     5.169 0.171D-01     9.295 0.327D-01
   67  111   1416.517 0.613D+00     4.375 0.195D-01     9.545 0.363D-01
   67  112   1421.829 0.696D+00     5.313 0.229D-01     9.688 0.421D-01
   67  113   1425.798 0.795D+00     3.970 0.269D-01     9.283 0.495D-01
   67  114   1430.741 0.916D+00     4.944 0.312D-01     8.915 0.577D-01
   67  115   1434.594 0.106D+01     3.854 0.358D-01     8.798 0.665D-01
   67  116   1439.357 0.122D+01     4.764 0.413D-01     8.618 0.765D-01
   67  117   1442.940 0.140D+01     3.584 0.485D-01     8.348 0.891D-01
   67  118   1447.380 0.160D+01     4.440 0.581D-01     8.023 0.106D+00
   67  119   1450.742 0.183D+01     3.361 0.697D-01     7.801 0.127D+00
   67  120   1454.882 0.210D+01     4.139 0.823D-01     7.500 0.151D+00
   67  121   1457.849 0.242D+01     2.965 0.946D-01     7.104 0.176D+00
   67  122   1461.545 0.278D+01     3.694 0.105D+00     6.659 0.199D+00
   67  123   1464.178 0.318D+01     2.631 0.114D+00     6.324 0.218D+00
   67  124   1467.493 0.361D+01     3.311 0.120D+00     5.941 0.233D+00
   67  125   1469.696 0.407D+01     2.200 0.124D+00     5.510 0.243D+00
   67  126   1472.580 0.453D+01     2.881 0.126D+00     5.080 0.249D+00
   67  127   1473.470 0.500D+01     0.886 0.126D+00     3.766 0.252D+00
   67  128   1475.068 0.548D+01     1.595 0.126D+00     2.480 0.252D+00
   67  129   1475.837 0.595D+01     0.766 0.124D+00     2.361 0.249D+00
   67  130   1477.309 0.642D+01     1.469 0.120D+00     2.235 0.243D+00
   67  131   1478.000 0.688D+01     0.688 0.115D+00     2.157 0.235D+00
   67  132   1479.365 0.732D+01     1.363 0.110D+00     2.051 0.226D+00
   67  133   1480.288 0.775D+01     0.921 0.105D+00     2.284 0.215D+00
   67  134   1482.360 0.815D+01     2.070 0.101D+00     2.991 0.206D+00
   67  135   1483.650 0.854D+01     1.289 0.966D-01     3.359 0.197D+00
   67  136   1485.520 0.891D+01     1.868 0.936D-01     3.158 0.190D+00
   67  137   1486.637 0.925D+01     1.116 0.915D-01     2.984 0.185D+00
   67  138   1488.281 0.958D+01     1.643 0.902D-01     2.760 0.182D+00
   67  139   1489.191 0.990D+01     0.909 0.894D-01     2.553 0.179D+00
   67  140   1490.605 0.102D+02     1.414 0.889D-01     2.323 0.178D+00
   67  141   1491.304 0.105D+02     0.698 0.883D-01     2.112 0.177D+00
   67  142   1492.464 0.107D+02     1.160 0.874D-01     1.858 0.176D+00
   67  143   1492.936 0.110D+02     0.471 0.861D-01     1.632 0.173D+00
   67  144   1493.837 0.112D+02     0.901 0.842D-01     1.372 0.170D+00
   67  145   1494.066 0.115D+02     0.229 0.815D-01     1.130 0.166D+00
   67  146   1494.692 0.117D+02     0.625 0.781D-01     0.854 0.160D+00
   67  147   1494.661 0.118D+02    -0.031 0.739D-01     0.594 0.152D+00
   67  148   1495.003 0.120D+02     0.341 0.691D-01     0.310 0.143D+00
   67  149   1494.704 0.121D+02    -0.299 0.636D-01     0.042 0.133D+00
   67  150   1494.753 0.122D+02     0.049 0.578D-01    -0.250 0.121D+00
   67  151   1494.167 0.123D+02    -0.586 0.519D-01    -0.538 0.109D+00
   67  152   1493.903 0.124D+02    -0.264 0.463D-01    -0.850 0.978D-01
   67  153   1493.040 0.124D+02    -0.863 0.416D-01    -1.127 0.874D-01
   67  154   1492.456 0.124D+02    -0.585 0.386D-01    -1.448 0.796D-01
   67  155   1491.287 0.124D+02    -1.169 0.382D-01    -1.754 0.761D-01
   67  156   1490.383 0.123D+02    -0.905 0.407D-01    -2.074 0.782D-01
   67  157   1488.911 0.122D+02    -1.472 0.458D-01    -2.377 0.859D-01
   67  158   1487.680 0.121D+02    -1.232 0.527D-01    -2.704 0.981D-01
   67  159   1485.898 0.120D+02    -1.782 0.609D-01    -3.014 0.113D+00
   67  160   1484.344 0.119D+02    -1.554 0.697D-01    -3.337 0.130D+00
   67  161   1482.258 0.118D+02    -2.087 0.788D-01    -3.642 0.148D+00
   67  162   1480.418 0.117D+02    -1.841 0.878D-01    -3.928 0.166D+00
   67  163   1478.724 0.117D+02    -1.695 0.966D-01    -3.537 0.184D+00
   67  164   1477.225 0.116D+02    -1.500 0.105D+00    -3.196 0.201D+00
   67  165   1475.261 0.116D+02    -1.965 0.112D+00    -3.466 0.217D+00
   67  166   1473.462 0.116D+02    -1.800 0.119D+00    -3.766 0.232D+00
   67  167   1471.219 0.116D+02    -2.245 0.125D+00    -4.046 0.244D+00
   68   60    908.442 0.564D+01     0.000 0.000D+00     0.000 0.000D+00
   68   61    925.091 0.502D+01    16.649 0.963D-01     0.000 0.000D+00
   68   62    943.517 0.444D+01    18.426 0.917D-01    35.075 0.188D+00
   68   63    959.485 0.391D+01    15.968 0.866D-01    34.394 0.178D+00
   68   64    977.248 0.343D+01    17.764 0.811D-01    33.731 0.167D+00
   68   65    992.524 0.300D+01    15.275 0.753D-01    33.039 0.156D+00
   68   66   1009.607 0.263D+01    17.083 0.692D-01    32.358 0.144D+00
   68   67   1024.176 0.231D+01    14.568 0.630D-01    31.650 0.132D+00
   68   68   1040.575 0.203D+01    16.399 0.566D-01    30.966 0.119D+00
   68   69   1053.662 0.179D+01    13.086 0.503D-01    29.484 0.107D+00
   68   70   1068.560 0.158D+01    14.897 0.443D-01    27.983 0.943D-01
   68   71   1081.004 0.138D+01    12.442 0.389D-01    27.340 0.828D-01
   68   72   1095.306 0.120D+01    14.300 0.343D-01    26.743 0.728D-01
   68   73   1107.027 0.102D+01    11.720 0.307D-01    26.020 0.645D-01
   68   74   1120.590 0.844D+00    13.562 0.279D-01    25.282 0.581D-01
   68   75   1131.850 0.686D+00    11.258 0.255D-01    24.821 0.530D-01
   68   76   1145.251 0.548D+00    13.400 0.232D-01    24.659 0.484D-01
   68   77   1156.392 0.438D+00    11.140 0.207D-01    24.540 0.437D-01
   68   78   1169.362 0.362D+00    12.969 0.181D-01    24.109 0.387D-01
   68   79   1180.092 0.320D+00    10.729 0.154D-01    23.698 0.334D-01
   68   80   1192.614 0.304D+00    12.522 0.130D-01    23.251 0.282D-01
   68   81   1202.801 0.302D+00    10.187 0.109D-01    22.709 0.237D-01
   68   82   1214.776 0.305D+00    11.975 0.935D-02    22.162 0.201D-01
   68   83   1223.471 0.307D+00     8.695 0.834D-02    20.670 0.175D-01
   68   84   1233.919 0.307D+00    10.447 0.779D-02    19.143 0.160D-01
   68   85   1242.160 0.304D+00     8.241 0.760D-02    18.688 0.152D-01
   68   86   1252.374 0.299D+00    10.215 0.773D-02    18.455 0.152D-01
   68   87   1260.292 0.293D+00     7.918 0.814D-02    18.133 0.157D-01
   68   88   1270.164 0.288D+00     9.871 0.877D-02    17.790 0.168D-01
   68   89   1277.757 0.287D+00     7.594 0.941D-02    17.465 0.181D-01
   68   90   1287.303 0.292D+00     9.546 0.978D-02    17.140 0.191D-01
   68   91   1294.581 0.303D+00     7.278 0.965D-02    16.824 0.193D-01
   68   92   1303.933 0.316D+00     9.352 0.903D-02    16.630 0.185D-01
   68   93   1311.430 0.326D+00     7.498 0.838D-02    16.850 0.172D-01
   68   94   1320.806 0.329D+00     9.375 0.839D-02    16.873 0.164D-01
   68   95   1328.050 0.327D+00     7.244 0.927D-02    16.619 0.173D-01
   68   96   1336.814 0.322D+00     8.764 0.104D-01    16.008 0.195D-01
   68   97   1343.626 0.319D+00     6.812 0.112D-01    15.575 0.215D-01
   68   98   1351.924 0.321D+00     8.298 0.114D-01    15.110 0.225D-01
   68   99   1358.285 0.328D+00     6.360 0.110D-01    14.658 0.222D-01
   68  100   1366.104 0.338D+00     7.819 0.102D-01    14.179 0.210D-01
   68  101   1371.990 0.348D+00     5.885 0.946D-02    13.704 0.195D-01
   68  102   1379.310 0.352D+00     7.320 0.901D-02    13.205 0.182D-01
   68  103   1384.726 0.349D+00     5.415 0.923D-02    12.735 0.179D-01
   68  104   1391.559 0.339D+00     6.833 0.102D-01    12.248 0.192D-01
   68  105   1396.514 0.327D+00     4.955 0.118D-01    11.788 0.218D-01
   68  106   1402.865 0.320D+00     6.351 0.134D-01    11.306 0.250D-01
   68  107   1407.378 0.328D+00     4.514 0.148D-01    10.865 0.281D-01
   68  108   1413.289 0.355D+00     5.912 0.156D-01    10.426 0.303D-01
   68  109   1417.404 0.399D+00     4.116 0.160D-01    10.028 0.315D-01
   68  110   1423.469 0.455D+00     6.065 0.162D-01    10.181 0.320D-01
   68  111   1427.807 0.517D+00     4.340 0.168D-01    10.405 0.326D-01
   68  112   1433.614 0.585D+00     5.808 0.183D-01    10.147 0.347D-01
   68  113   1437.512 0.659D+00     3.899 0.209D-01     9.707 0.389D-01
   68  114   1442.932 0.746D+00     5.422 0.242D-01     9.321 0.449D-01
   68  115   1446.725 0.848D+00     3.794 0.278D-01     9.216 0.518D-01
   68  116   1452.006 0.966D+00     5.282 0.316D-01     9.076 0.590D-01
   68  117   1455.557 0.110D+01     3.552 0.361D-01     8.834 0.671D-01
   68  118   1460.548 0.126D+01     4.992 0.427D-01     8.545 0.780D-01
   68  119   1463.916 0.143D+01     3.368 0.521D-01     8.360 0.939D-01
   68  120   1468.663 0.164D+01     4.747 0.645D-01     8.115 0.116D+00
   68  121   1471.654 0.190D+01     2.990 0.787D-01     7.737 0.143D+00
   68  122   1475.973 0.222D+01     4.318 0.929D-01     7.307 0.171D+00
   68  123   1478.629 0.259D+01     2.653 0.105D+00     6.971 0.198D+00
   68  124   1482.574 0.301D+01     3.942 0.115D+00     6.595 0.220D+00
   68  125   1484.747 0.346D+01     2.170 0.122D+00     6.111 0.237D+00
   68  126   1488.203 0.393D+01     3.452 0.126D+00     5.622 0.247D+00
   68  127   1489.042 0.441D+01     0.836 0.127D+00     4.288 0.252D+00
   68  128   1491.199 0.488D+01     2.153 0.128D+00     2.988 0.254D+00
   68  129   1491.849 0.534D+01     0.646 0.127D+00     2.799 0.254D+00
   68  130   1493.828 0.579D+01     1.975 0.125D+00     2.621 0.252D+00
   68  131   1494.349 0.624D+01     0.518 0.122D+00     2.493 0.247D+00
   68  132   1496.215 0.667D+01     1.863 0.118D+00     2.380 0.241D+00
   68  133   1496.653 0.709D+01     0.436 0.113D+00     2.298 0.232D+00
   68  134   1499.040 0.749D+01     2.385 0.108D+00     2.820 0.221D+00
   68  135   1500.169 0.788D+01     1.127 0.102D+00     3.511 0.209D+00
   68  136   1502.561 0.824D+01     2.390 0.962D-01     3.517 0.198D+00
   68  137   1503.507 0.859D+01     0.944 0.916D-01     3.334 0.187D+00
   68  138   1505.695 0.891D+01     2.187 0.882D-01     3.131 0.179D+00
   68  139   1506.444 0.921D+01     0.749 0.860D-01     2.935 0.174D+00
   68  140   1508.414 0.950D+01     1.969 0.850D-01     2.718 0.171D+00
   68  141   1508.943 0.978D+01     0.528 0.848D-01     2.497 0.170D+00
   68  142   1510.679 0.100D+02     1.735 0.851D-01     2.263 0.170D+00
   68  143   1510.980 0.103D+02     0.301 0.855D-01     2.037 0.170D+00
   68  144   1512.467 0.105D+02     1.486 0.858D-01     1.787 0.171D+00
   68  145   1512.526 0.108D+02     0.059 0.856D-01     1.545 0.171D+00
   68  146   1513.756 0.110D+02     1.230 0.849D-01     1.289 0.170D+00
   68  147   1513.555 0.112D+02    -0.200 0.834D-01     1.030 0.168D+00
   68  148   1514.513 0.114D+02     0.957 0.810D-01     0.757 0.164D+00
   68  149   1514.055 0.116D+02    -0.457 0.777D-01     0.500 0.159D+00
   68  150   1514.722 0.118D+02     0.666 0.736D-01     0.209 0.151D+00
   68  151   1513.989 0.119D+02    -0.733 0.687D-01    -0.066 0.142D+00
   68  152   1514.355 0.120D+02     0.366 0.632D-01    -0.366 0.132D+00
   68  153   1513.338 0.121D+02    -1.017 0.573D-01    -0.651 0.120D+00
   68  154   1513.405 0.122D+02     0.067 0.514D-01    -0.951 0.108D+00
   68  155   1512.093 0.123D+02    -1.312 0.459D-01    -1.245 0.970D-01
   68  156   1511.850 0.123D+02    -0.243 0.416D-01    -1.554 0.870D-01
   68  157   1510.235 0.123D+02    -1.616 0.394D-01    -1.858 0.803D-01
   68  158   1509.675 0.123D+02    -0.561 0.400D-01    -2.176 0.786D-01
   68  159   1507.757 0.122D+02    -1.918 0.436D-01    -2.479 0.829D-01
   68  160   1506.881 0.122D+02    -0.877 0.497D-01    -2.794 0.928D-01
   68  161   1504.654 0.121D+02    -2.227 0.576D-01    -3.104 0.107D+00
   68  162   1503.936 0.120D+02    -0.719 0.665D-01    -2.946 0.124D+00
   68  163   1502.105 0.119D+02    -1.832 0.759D-01    -2.551 0.142D+00
   68  164   1501.310 0.119D+02    -0.796 0.855D-01    -2.628 0.161D+00
   68  165   1499.201 0.118D+02    -2.110 0.948D-01    -2.906 0.180D+00
   68  166   1498.117 0.118D+02    -1.086 0.104D+00    -3.196 0.199D+00
   68  167   1495.717 0.117D+02    -2.401 0.112D+00    -3.487 0.216D+00
   68  168   1494.352 0.117D+02    -1.367 0.119D+00    -3.768 0.231D+00
   69   61    917.612 0.529D+01     0.000 0.000D+00     0.000 0.000D+00
   69   62    936.372 0.475D+01    18.760 0.921D-01     0.000 0.000D+00
   69   63    952.799 0.426D+01    16.426 0.869D-01    35.187 0.179D+00
   69   64    970.904 0.382D+01    18.106 0.817D-01    34.532 0.168D+00
   69   65    986.595 0.342D+01    15.691 0.765D-01    33.797 0.158D+00
   69   66   1004.008 0.307D+01    17.412 0.713D-01    33.103 0.148D+00
   69   67   1018.959 0.276D+01    14.950 0.661D-01    32.363 0.137D+00
   69   68   1035.686 0.249D+01    16.726 0.608D-01    31.677 0.127D+00
   69   69   1049.906 0.224D+01    14.219 0.557D-01    30.946 0.116D+00
   69   70   1065.146 0.201D+01    15.239 0.507D-01    29.458 0.106D+00
   69   71   1077.920 0.179D+01    12.773 0.459D-01    28.012 0.962D-01
   69   72   1092.553 0.158D+01    14.631 0.416D-01    27.404 0.870D-01
   69   73   1104.627 0.137D+01    12.073 0.377D-01    26.704 0.788D-01
   69   74   1118.485 0.116D+01    13.857 0.345D-01    25.929 0.718D-01
   69   75   1130.291 0.966D+00    11.804 0.317D-01    25.661 0.658D-01
   69   76   1144.119 0.780D+00    13.826 0.291D-01    25.631 0.605D-01
   69   77   1155.605 0.615D+00    11.485 0.263D-01    25.312 0.551D-01
   69   78   1168.829 0.478D+00    13.223 0.233D-01    24.708 0.494D-01
   69   79   1179.921 0.376D+00    11.091 0.200D-01    24.314 0.431D-01
   69   80   1192.662 0.311D+00    12.741 0.168D-01    23.832 0.367D-01
   69   81   1203.206 0.279D+00    10.544 0.139D-01    23.284 0.305D-01
   69   82   1215.386 0.270D+00    12.180 0.114D-01    22.723 0.252D-01
   69   83   1224.466 0.271D+00     9.079 0.964D-02    21.259 0.209D-01
