Thickness of SUS flat deg [mm]1	(B-C) stopped in THIS detector	Thickness of SUS flat deg [mm]2	(C)   yield after THIS detector 	Thickness of SUS flat deg [mm]3	(A-B) stopped before THIS detector	Thickness of SUS flat deg [mm]4	(B)   yield before THIS detector	
0.793333	9.99496   	0.793333	97.6334   	0.793333	16.913    	0.793333	107.628   	
0.793889	10.6315   	0.793889	97.1165   	0.793889	16.7933   	0.793889	107.748   	
0.794444	11.4783   	0.794444	96.2707   	0.794444	16.7924   	0.794444	107.749   	
0.795000	12.1943   	0.795000	95.2883   	0.795000	17.0588   	0.795000	107.483   	
0.795556	13.047    	0.795556	94.0336   	0.795556	17.4607   	0.795556	107.081   	
0.796111	13.9211   	0.796111	92.3914   	0.796111	18.2288   	0.796111	106.313   	
0.796667	14.6947   	0.796667	90.6008   	0.796667	19.2459   	0.796667	105.296   	
0.797222	15.4543   	0.797222	88.423    	0.797222	20.6641   	0.797222	103.877   	
0.797778	16.2572   	0.797778	85.6331   	0.797778	22.6511   	0.797778	101.89    	
0.798333	17.0335   	0.798333	82.0929   	0.798333	25.415    	0.798333	99.1264   	
0.798889	17.7353   	0.798889	77.6589   	0.798889	29.1471   	0.798889	95.3942   	
0.799444	18.33     	0.799444	72.1642   	0.799444	34.0472   	0.799444	90.4942   	
0.800000	18.7904   	0.800000	65.4059   	0.800000	40.345    	0.800000	84.1963   	
0.800556	19.0423   	0.800556	57.3421   	0.800556	48.157    	0.800556	76.3844   	
0.801111	19.0182   	0.801111	48.1834   	0.801111	57.3398   	0.801111	67.2015   	
0.801667	18.6347   	0.801667	38.8831   	0.801667	67.0236   	0.801667	57.5178   	
0.802222	17.9433   	0.802222	30.7179   	0.802222	75.8802   	0.802222	48.6612   	
0.802778	16.9936   	0.802778	23.8752   	0.802778	83.6725   	0.802778	40.8688   	
0.803333	15.892    	0.803333	18.3898   	0.803333	90.2595   	0.803333	34.2819   	
0.803889	14.7377   	0.803889	14.0542   	0.803889	95.7495   	0.803889	28.7919   	
0.804444	12.3958   	0.804444	2.12819   	0.804444	110.017   	0.804444	14.524    	
0.805000	10.8057   	0.805000	0.801709  	0.805000	112.934   	0.805000	11.6074   	
0.805556	8.55569   	0.805556	0.893345  	0.805556	115.092   	0.805556	9.44904   	
0.806111	6.99186   	0.806111	0.000318147	0.806111	117.549   	0.806111	6.99217   	
0.806667	4.86649   	0.806667	1.19692e-07	0.806667	119.675   	0.806667	4.86649   	
0.807222	4.16334   	0.807222	0         	0.807222	120.378   	0.807222	4.16334   	
0.807778	1.27383   	0.807778	0         	0.807778	123.268   	0.807778	1.27383   	
0.808333	2.14553   	0.808333	0         	0.808333	122.396   	0.808333	2.14553   	
0.808889	1.08917   	0.808889	0         	0.808889	123.452   	0.808889	1.08917   	
0.809444	7.28512e-09	0.809444	0         	0.809444	124.541   	0.809444	7.28512e-09	
0.810000	5.07029e-11	0.810000	0         	0.810000	124.541   	0.810000	5.07029e-11	
0.810556	1.32019e-12	0.810556	0         	0.810556	124.541   	0.810556	1.32019e-12	
0.811111	8.22658e-14	0.811111	0         	0.811111	124.541   	0.811111	8.22658e-14	
0.811667	6.53768e-15	0.811667	0         	0.811667	124.541   	0.811667	6.53768e-15	
0.812222	0.0112402 	0.812222	0         	0.812222	124.53    	0.812222	0.0112402 	
0.812778	0         	0.812778	0         	0.812778	124.541   	0.812778	0         	
0.813333	0         	0.813333	0         	0.813333	124.541   	0.813333	0         	
0.813889	0         	0.813889	0         	0.813889	124.541   	0.813889	0         	
0.814444	0         	0.814444	0         	0.814444	124.541   	0.814444	0         	
0.815000	0         	0.815000	0         	0.815000	124.541   	0.815000	0         	
0.815556	0         	0.815556	0         	0.815556	124.541   	0.815556	0         	
0.816111	0         	0.816111	0         	0.816111	124.541   	0.816111	0         	
0.816667	0         	0.816667	0         	0.816667	124.541   	0.816667	0         	
0.817222	0         	0.817222	0         	0.817222	124.541   	0.817222	0         	
0.817778	0         	0.817778	0         	0.817778	124.541   	0.817778	0         	
0.818333	0         	0.818333	0         	0.818333	124.541   	0.818333	0         	
0.818889	0         	0.818889	0         	0.818889	124.541   	0.818889	0         	
0.819444	0         	0.819444	0         	0.819444	124.541   	0.819444	0         	
0.820000	0         	0.820000	0         	0.820000	124.541   	0.820000	0         	
0.820556	0         	0.820556	0         	0.820556	124.541   	0.820556	0         	
0.821111	0         	0.821111	0         	0.821111	124.541   	0.821111	0         	
0.821667	0         	0.821667	0         	0.821667	124.541   	0.821667	0         	
0.822222	0         	0.822222	0         	0.822222	124.541   	0.822222	0         	
0.822778	0         	0.822778	0         	0.822778	124.541   	0.822778	0         	
0.823333	0         	0.823333	0         	0.823333	124.541   	0.823333	0         	
0.823889	0         	0.823889	0         	0.823889	124.541   	0.823889	0         	
0.824444	0         	0.824444	0         	0.824444	124.541   	0.824444	0         	
0.825000	0         	0.825000	0         	0.825000	124.541   	0.825000	0         	
0.825556	0         	0.825556	0         	0.825556	124.541   	0.825556	0         	
0.826111	0         	0.826111	0         	0.826111	124.541   	0.826111	0         	
0.826667	0         	0.826667	0         	0.826667	124.541   	0.826667	0         	
0.827222	0         	0.827222	0         	0.827222	124.541   	0.827222	0         	
0.827778	0         	0.827778	0         	0.827778	124.541   	0.827778	0         	
0.828333	0         	0.828333	0         	0.828333	124.541   	0.828333	0         	
0.828889	0         	0.828889	0         	0.828889	124.541   	0.828889	0         	
0.829444	0         	0.829444	0         	0.829444	124.541   	0.829444	0         	
0.830000	0         	0.830000	0         	0.830000	124.541   	0.830000	0         	
0.830556	0         	0.830556	0         	0.830556	124.541   	0.830556	0         	
0.831111	0         	0.831111	0         	0.831111	124.541   	0.831111	0         	
0.831667	0         	0.831667	0         	0.831667	124.541   	0.831667	0         	
0.832222	0         	0.832222	0         	0.832222	124.541   	0.832222	0         	
0.832778	0         	0.832778	0         	0.832778	124.541   	0.832778	0         	
0.833333	0         	0.833333	0         	0.833333	124.541   	0.833333	0         	
0.833889	0         	0.833889	0         	0.833889	124.541   	0.833889	0         	
0.834444	0         	0.834444	0         	0.834444	124.541   	0.834444	0         	
0.835000	0         	0.835000	0         	0.835000	124.541   	0.835000	0         	
0.835556	0         	0.835556	0         	0.835556	124.541   	0.835556	0         	
0.836111	0         	0.836111	0         	0.836111	124.541   	0.836111	0         	
0.836667	0         	0.836667	0         	0.836667	124.541   	0.836667	0         	
0.837222	0         	0.837222	0         	0.837222	124.541   	0.837222	0         	
0.837778	0         	0.837778	0         	0.837778	124.541   	0.837778	0         	
0.838333	0         	0.838333	0         	0.838333	124.541   	0.838333	0         	
0.838889	0         	0.838889	0         	0.838889	124.541   	0.838889	0         	
0.839444	0         	0.839444	0         	0.839444	124.541   	0.839444	0         	
0.840000	0         	0.840000	0         	0.840000	124.541   	0.840000	0         	
